index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.694516,0.00e+00,0.6864,0.2627,0.6781,0.3610,0.9325,0.0042,0.6313,0.2477,0.7349
1,m003,0.981369,0.662121,0.00e+00,0.7600,0.2193,0.6118,0.4355,0.8706,0.2290,0.4824,0.4404,0.7571
2,m007,1.014942,0.581047,0.00e+00,0.8533,0.3933,0.3425,0.2067,0.8580,0.4702,0.4788,0.3304,0.8134
3,m003,1.263709,0.562571,0.00e+00,0.8056,0.3533,0.4756,0.4952,0.8423,0.2131,0.3253,0.4072,0.8534
4,m004,1.284485,0.586655,0.00e+00,0.8433,0.0025,0.5374,0.0012,1.0000,0.0027,0.5374,0.0017,0.8433
5,m004,1.398509,0.349655,0.00e+00,0.9782,0.0013,0.2075,0.0014,1.0000,0.0001,0.2075,0.0002,0.9782
6,m009,1.414061,0.690518,0.00e+00,0.6904,0.6297,0.3560,0.4354,0.7548,0.4907,0.5777,0.1838,0.7953
7,m003,1.414061,0.637456,0.00e+00,0.7733,0.2447,0.5849,0.4425,0.8689,0.2216,0.4541,0.4302,0.7802
8,m003,1.423612,0.706626,0.00e+00,0.7324,0.2509,0.6329,0.5090,0.8192,0.2642,0.4522,0.5156,0.7278
9,m004,1.440699,0.424062,0.00e+00,0.9451,0.0009,0.3267,0.0009,1.0000,0.0000,0.3267,0.0003,0.9451
10,m004,1.463777,0.537320,0.00e+00,0.8777,0.0057,0.4793,0.0026,1.0000,0.0071,0.4793,0.0050,0.8776
11,m004,1.529477,0.494939,0.00e+00,0.9058,0.0009,0.4237,0.0010,1.0000,0.0000,0.4237,0.0004,0.9058
12,m003,1.543569,0.610022,0.00e+00,0.7850,0.3090,0.5369,0.4872,0.8432,0.2272,0.3825,0.4399,0.8125
13,m007,1.543569,0.488072,0.00e+00,0.9100,0.0005,0.4145,0.0004,1.0000,0.0002,0.4145,0.0000,0.9100
14,m007,1.583167,0.539644,0.00e+00,0.8994,0.2687,0.3447,0.1065,0.8997,0.4233,0.4239,0.3440,0.8378
15,m007,1.583167,0.617344,0.00e+00,0.9076,0.3594,0.2171,0.1716,0.7893,0.5895,0.3833,0.4977,0.7781
16,m006,1.588647,0.533856,0.00e+00,0.9957,0.0645,0.0660,0.0211,0.8555,0.5173,0.0899,0.5137,0.8533
17,m003,1.588647,0.597937,0.00e+00,0.7928,0.2956,0.5330,0.4657,0.8580,0.2169,0.3932,0.4201,0.8179
18,m006,1.649610,0.868771,0.00e+00,0.6174,0.1213,0.7772,0.5357,0.7883,0.3026,0.5760,0.6032,0.5517
19,m015,1.757126,0.482893,0.00e+00,0.9731,0.1457,0.1782,0.0529,0.8952,0.4426,0.2240,0.4212,0.8789
20,m007,1.824344,0.553759,0.00e+00,0.8801,0.2881,0.3773,0.1182,0.9028,0.4135,0.4598,0.3194,0.8286
21,m009,1.831931,0.631314,0.00e+00,0.7673,0.4738,0.4322,0.2857,0.8559,0.4310,0.5741,0.2072,0.7921
22,m010,1.831931,0.750827,0.00e+00,0.5902,0.4421,0.6755,0.5619,0.8257,0.0495,0.5797,0.3503,0.7357
23,m009,1.831931,0.409942,0.00e+00,0.9520,0.0014,0.3062,0.0014,1.0000,0.0003,0.3062,0.0002,0.9520
24,m011,1.831931,0.243701,0.00e+00,0.9984,0.0571,0.0019,0.0571,0.9984,0.0004,0.0019,0.0002,1.0000
25,m006,1.831931,0.692493,0.00e+00,0.6559,0.6361,0.4064,0.4801,0.7670,0.4257,0.5825,0.0841,0.8085
26,m007,1.843586,0.134918,0.00e+00,0.9700,0.2419,0.0255,0.2421,0.9703,0.0033,0.0240,0.0094,0.9997
27,m009,1.843586,0.683399,0.00e+00,0.7592,0.0191,0.6506,0.0239,0.9997,0.0014,0.6505,0.0145,0.7594
28,m016,1.885415,0.501509,0.00e+00,0.8481,0.2137,0.4848,0.2462,0.9692,0.0035,0.4691,0.1223,0.8746
29,m007,1.885415,0.508358,0.00e+00,0.9208,0.2038,0.3324,0.0658,0.9216,0.3826,0.3844,0.3304,0.8620
30,m006,1.885415,0.675397,0.00e+00,0.6933,0.5899,0.4139,0.4141,0.7962,0.4412,0.5898,0.1345,0.7962
31,m017,1.885415,0.467683,0.00e+00,0.9119,0.0394,0.4085,0.0441,0.9990,0.0020,0.4080,0.0198,0.9128
32,m006,1.885914,0.675679,0.00e+00,0.6560,0.5342,0.5332,0.4583,0.8432,0.2809,0.5996,0.0601,0.7980
33,m010,1.910844,0.736186,0.00e+00,0.6079,0.4291,0.6681,0.5444,0.8377,0.0428,0.5780,0.3377,0.7428
34,m011,1.912210,0.256021,0.00e+00,0.9991,0.0416,0.0052,0.0416,0.9991,0.0001,0.0052,0.0001,1.0000
35,m006,1.922297,0.678349,0.00e+00,0.6545,0.5004,0.5668,0.4492,0.8604,0.2408,0.6081,0.0970,0.7879
36,m006,1.941503,0.683782,0.00e+00,0.6773,0.3549,0.6444,0.3446,0.9270,0.1483,0.6500,0.1216,0.7501
37,m009,1.941503,0.680767,0.00e+00,0.6975,0.5886,0.4086,0.3992,0.7928,0.4606,0.5951,0.1582,0.7880
38,m006,1.953708,0.672141,0.00e+00,0.6944,0.5712,0.4377,0.4016,0.8123,0.4230,0.5971,0.1180,0.7934
39,m006,1.962738,0.683677,0.00e+00,0.6521,0.5932,0.4720,0.4758,0.8050,0.3544,0.5902,0.0066,0.8072
40,m017,1.962738,0.627230,0.00e+00,0.7623,0.1924,0.6179,0.2204,0.9749,0.0317,0.6085,0.1120,0.7856
41,m023,2.014337,0.498140,0.00e+00,0.9031,0.0045,0.4294,0.0011,1.0000,0.0080,0.4294,0.0068,0.9031
42,m007,2.025945,0.522328,0.00e+00,0.9392,0.2112,0.2708,0.0698,0.8895,0.4516,0.3362,0.4053,0.8501
43,m006,2.028853,0.690123,0.00e+00,0.7033,0.2101,0.6792,0.3241,0.9450,0.0432,0.6328,0.2505,0.7327
44,m036,2.029883,0.498093,0.00e+00,0.8824,0.0752,0.4645,0.1080,0.9932,0.0444,0.4579,0.0894,0.8845
45,m015,2.029883,0.425697,0.00e+00,0.9944,0.0721,0.0773,0.0368,0.9215,0.3865,0.0991,0.3815,0.9190
46,m016,2.029883,0.358437,0.00e+00,0.9503,0.0955,0.2962,0.1083,0.9938,0.0268,0.2918,0.0576,0.9547
47,m010,2.029883,0.721006,0.00e+00,0.5873,0.5869,0.5574,0.5663,0.7900,0.2350,0.5782,0.1777,0.7963
48,m019,2.029883,0.277485,0.00e+00,0.9999,0.0138,0.0004,0.0138,0.9999,0.0048,0.0005,0.0048,1.0000
