test,observed_stat,null_mean,null_std,p_value,n_trials,significant_0.05
Haar-random unitary (CKM),0.01729,0.4917076347750687,0.10256861428713297,0.0,50000,True
Haar-random unitary (PMNS),0.01897,0.28209966931745767,0.08655640103609959,0.00016,50000,True
Log-normal null (mass lattice),0.05482458846952786,0.06714068075959843,0.011077081318252874,0.13534,50000,False
PDG bootstrap (mass lattice),0.05482458846952786,0.05940822298103719,0.008609712373379956,0.3045,10000,False
Trials correction (Bonferroni),0.019669030778537246,0.022368760662280347,0.003672560771646872,1.0,42,False
Trials correction (Holm),0.019669030778537246,0.022368760662280347,0.003672560771646872,1.0,42,False
