r,lambda,zeta_abs
0.05,0.2525,1.7087292529862185e-19
0.053555007465392886,0.2528681388246183,1.9092526911096656e-19
0.05711001493078577,0.25326155380539456,2.1491122640318198e-19
0.06066502239617865,0.2536802449423289,2.4369136563020924e-19
0.06422002986157153,0.25412421223542114,2.783461120516795e-19
0.06777503732696442,0.2545934556846714,3.202370841258228e-19
0.0713300447923573,0.2550879752900797,3.710870992272754e-19
0.07488505225775019,0.255607771051646,4.3308492379413233e-19
0.07844005972314307,0.25615284296937024,5.090229441670017e-19
0.08199506718853596,0.25672319104325253,6.024788009704736e-19
0.08555007465392883,0.2573188152732928,7.180559540945366e-19
0.08910508211932172,0.2579397156594911,8.617035356131511e-19
0.09266008958471461,0.25858589220184736,1.0411432770449123e-18
0.09621509705010749,0.2592573449003616,1.2664415707566707e-18
0.09977010451550036,0.2599540737550339,1.5507789794741142e-18
0.10332511198089325,0.2606760787658641,1.911489350873738e-18
0.10688011944628614,0.2614233599328524,2.37146840844859e-18
0.11043512691167902,0.26219591725599867,2.961090524066005e-18
0.11399013437707191,0.2629937507353029,3.720826970122698e-18
0.11754514184246478,0.2638168603707652,4.704835940857577e-18
0.12110014930785767,0.2646652461623854,5.985903558890459e-18
0.12465515677325055,0.2655389081101637,7.662269675320253e-18
0.12821016423864345,0.26643784621409994,9.867092356714583e-18
0.13176517170403632,0.2673620604741942,1.2781619238319312e-17
0.1353201791694292,0.26831155089044645,1.6653584090011603e-17
0.13887518663482207,0.26928631746285664,2.1822993664766848e-17
0.14243019410021496,0.27028636019142493,2.875840173529422e-17
0.14598520156560785,0.27131167907615117,3.810811375594871e-17
0.14954020903100074,0.2723622741170354,5.0772716907034194e-17
0.15309521649639363,0.2734381453140776,6.800816593436577e-17
0.15665022396178652,0.2745392926672779,9.157278727688385e-17
0.16020523142717938,0.2756657161766361,1.239376013831807e-16
0.16376023889257227,0.27681741584215236,1.685882076464276e-16
0.16731524635796516,0.27799439166382656,2.3045946659297227e-16
0.17087025382335802,0.2791966436416588,3.1656334104735006e-16
0.1744252612887509,0.28042417177564904,4.3689849031776366e-16
0.1779802687541438,0.2816769760657973,6.057719831446909e-16
0.1815352762195367,0.2829550565121035,8.437254432222051e-16
0.18509028368492958,0.28425841311456773,1.1803500189079524e-15
0.18864529115032247,0.28558704587318995,1.6584117310814427e-15
0.19220029861571536,0.28694095478797016,2.3399135097199705e-15
0.1957553060811082,0.28832013985890836,3.3150265206601038e-15
0.19931031354650108,0.28972460108600456,4.7152824686369e-15
0.20286532101189397,0.2911543384692588,6.7331079812089655e-15
0.20642032847728686,0.292609352008671,9.650819403545675e-15
0.20997533594267975,0.29408964170424123,1.3883759594978623e-14
0.21353034340807264,0.2955952075559694,2.004461839227505e-14
0.21708535087346553,0.29712604956385563,2.903954721091044e-14
0.22064035833885842,0.29868216772789985,4.221208319082414e-14
0.2241953658042513,0.30026356204810206,6.155909604704995e-14
0.22775037326964415,0.3018702325244622,9.005542173590349e-14
0.23130538073503704,0.3035021791569804,1.3214278266630547e-13
0.23486038820042993,0.30515940194565666,1.9446742731414776e-13
0.23841539566582282,0.30684190089049085,2.869948767597078e-13
0.2419704031312157,0.30854967599148303,4.2469724434817434e-13
0.2455254105966086,0.31028272724863326,6.301110644429959e-13
0.24908041806200149,0.31204105466194143,9.372202427280744e-13
0.2526354255273944,0.31382465823140765,1.3973584988509013e-12
0.2561904329927872,0.3156335379570318,2.088192844868513e-12
0.2597454404581801,0.317467693838814,3.1274123191008407e-12
0.263300447923573,0.31932712587675416,4.693608980704104e-12
0.2668554553889659,0.32121183407085235,7.058161805551365e-12
0.27041046285435877,0.32312181842110854,1.0633965635736092e-11
0.27396547031975166,0.3250570789275227,1.6049966372324074e-11
0.27752047778514455,0.3270176155900949,2.4265253613720963e-11
0.28107548525053744,0.32900342840882507,3.6743819475976573e-11
0.2846304927159303,0.33101451738371324,5.572239476745359e-11
0.28818550018132316,0.3330508825147594,8.46211365287566e-11
0.29174050764671605,0.3351125238019636,1.2867361217985217e-10
0.29529551511210894,0.33719944124532575,1.958934896598326e-10
0.29885052257750183,0.33931163484484594,2.9855824547576243e-10
0.3024055300428947,0.34144910460052413,4.5548676335996653e-10
0.3059605375082876,0.34361185051236026,6.955358685192882e-10
0.30951554497368045,0.3457998725803544,1.0629681071328873e-09
0.31307055243907334,0.34801317080450656,1.6256914669957771e-09
0.3166255599044662,0.3502517451848167,2.4879054627753642e-09
0.3201805673698591,0.3525155957212849,3.8095051060851965e-09
0.323735574835252,0.35480472241391103,5.835844217962322e-09
0.3272905823006449,0.3571191252626952,8.943369965926353e-09
0.3308455897660378,0.3594588042676374,1.3709557696032418e-08
0.3344005972314307,0.3618237594287375,2.102002511118737e-08
0.33795560469682356,0.3642139907459957,3.223248559115035e-08
0.3415106121622164,0.3666294982194118,4.942752066208057e-08
0.3450656196276093,0.36907028184898594,7.579183930345278e-08
0.3486206270930022,0.3715363416347181,1.1620350699378447e-07
0.35217563455839507,0.37402767757660826,1.7812473037225472e-07
0.35573064202378796,0.37654428967465636,2.729624335612566e-07
0.35928564948918085,0.3790861779288625,4.1813945978990995e-07
0.36284065695457374,0.38165334233922665,6.402438664588811e-07
0.3663956644199666,0.3842457829057488,9.798115283007793e-07
0.36995067188535946,0.3868634996284289,1.498579579697737e-06
0.37350567935075235,0.38950649250726704,2.2904719668439037e-06
0.37706068681614524,0.39217476154226316,3.4982131688396495e-06
0.38061569428153813,0.39486830673341733,5.338415208019622e-06
0.384170701746931,0.39758712808072944,8.139399070079556e-06
0.3877257092123239,0.40033122558419953,1.239811982145191e-05
0.3912807166777168,0.4031005992438277,1.8865696467818086e-05
0.3948357241431097,0.4058952490596138,2.867568934232679e-05
0.3983907316085026,0.40871517503155796,4.353613144128413e-05
0.4019457390738954,0.41156037715966,6.601644465429532e-05
0.4055007465392883,0.4144308554439201,9.997526934026456e-05
0.4090557540046812,0.41732660988433823,0.00015119710018292692
0.4126107614700741,0.42024764048091434,0.00022833762650846618
0.416165768935467,0.42319394723364845,0.0003443243980599802
0.41972077640085986,0.4261655301425406,0.0005184274564885763
0.42327578386625275,0.42916238920759076,0.0007793133142772515
0.42683079133164564,0.43218452442879884,0.0011695385855096758
0.4303857987970385,0.4352319358061649,0.001752145828777627
0.43394080626243137,0.438304623339689,0.0026203209081340317
0.43749581372782426,0.4414025870293711,0.003911496780663272
0.44105082119321715,0.4445258268752112,0.005827897084242108
0.44460582865861004,0.4476743428772093,0.008666379954910588
0.4481608361240029,0.4508481350353654,0.012861673927217975
0.4517158435893958,0.4540472033496795,0.01904884072419831
0.4552708510547887,0.4572715478201516,0.02815325812866545
0.4588258585201816,0.4605211684467817,0.04151987128693945
0.46238086598557443,0.46379606522956973,0.061098299265683456
0.4659358734509673,0.46709623816851586,0.08970713419845683
0.4694908809163602,0.47042168726361994,0.13141015292766786
0.4730458883817531,0.473772412514882,0.192050151633771
0.476600895847146,0.4771484139223021,0.2800040292227194
0.4801559033125389,0.48054969148588017,0.4072473529599483
0.48371091077793177,0.4839762452056163,0.5908503015524535
0.48726591824332466,0.4874280750815103,0.8550727353520344
0.4908209257087175,0.4909051811135624,1.2342883404531924
0.4943759331741104,0.4944075633017725,1.7770517902949474
0.49793094063950327,0.49793522164614057,2.5517358011870916
0.5014859481048962,0.5014881561466666,3.6543161055180753
0.505040955570289,0.5050663668033506,5.219083720818837
0.508595963035682,0.5086698536161929,7.433330859819194
0.5121509705010748,0.5122986165851928,10.557409070120874
0.5157059779664678,0.5159526557103509,14.952020646272215
0.5192609854318606,0.519631970991667,21.11520842145386
0.5228159928972534,0.523336562429141,29.732293978671294
0.5263710003626464,0.5270664300227731,41.74302883651806
0.5299260078280392,0.5308215737725631,58.431527232785086
0.5334810152934322,0.5346019936785111,81.54621596191232
0.537036022758825,0.5384076897406171,113.45915490294523
0.540591030224218,0.5422386619588813,157.37675757113362
0.5441460376896108,0.5460949103333033,217.61730018404958
0.5477010451550037,0.5499764348638834,299.97479810650583
0.5512560526203966,0.5538832355506214,412.1940213628389
0.5548110600857895,0.5578153123935176,564.5878119513883
0.5583660675511823,0.5617726653925715,770.8356753838124
0.5619210750165753,0.5657552945477836,1049.012091027402
0.5654760824819681,0.5697631998591537,1422.9043846125726
0.569031089947361,0.5737963813266815,1923.693610701777
0.5725860974127539,0.5778548389503677,2592.08798836582
0.5761411048781467,0.5819385727302117,3481.01729925254
0.5796961123435397,0.5860475826662137,4659.018550534772
0.5832511198089325,0.5901818687583738,6214.468338309558
0.5868061272743255,0.5943414310066919,8260.845860161797
0.5903611347397183,0.5985262694111678,10943.24245294318
0.5939161422051112,0.6027363839718018,14446.36876072087
0.5974711496705041,0.6069717746885939,19004.348861772643
0.6010261571358969,0.6112324415615438,24912.631348720413
0.6045811646012899,0.615518384590652,32542.38960327352
0.6081361720666827,0.6198296037759179,42357.826110701724
0.6116911795320756,0.624166099117342,54936.83696435114
0.6152461869974685,0.628527870614924,70995.53057491947
0.6188011944628614,0.632914918268664,91417.12634141365
0.6223562019282542,0.637327242078562,117285.78140260531
0.6259112093936472,0.641764842044618,149925.9027160758
0.62946621685904,0.646227718166832,190947.49316828887
0.6330212243244329,0.650715870445204,242298.04922494947
0.6365762317898258,0.655229298879734,306321.468356292
0.6401312392552186,0.659768003470422,385824.33137816074
0.6436862467206116,0.6643319842172681,484149.7920876508
0.6472412541860044,0.6689212411202721,605259.1284488129
0.6507962616513974,0.6735357741794341,753820.7808960611
0.6543512691167902,0.678175583394754,935306.4197515444
0.657906276582183,0.6828406687662318,1156093.2423290533
0.661461284047576,0.687531030293868,1423571.2999115854
0.6650162915129688,0.692246667977662,1746254.1967291674
0.6685712989783618,0.696987581817614,2133890.9915805496
0.6721263064437546,0.7017537718137239,2597576.5755717573
0.6756813139091475,0.706545237965992,3149857.208284177
0.6792363213745404,0.7113619802744179,3804827.285579411
0.6827913288399333,0.716203998739002,4578212.805794994
0.6863463363053262,0.7210712933597438,5487436.42248691
0.689901343770719,0.7259638641366437,6551658.450707425
0.6934563512361119,0.7308817110697019,7791787.763529128
0.6970113587015048,0.7358248341589178,9230456.212669536
0.7005663661668977,0.7407932334042918,10891950.070025882
0.7041213736322905,0.7457869088058238,12802092.054532504
0.7076763810976835,0.7508058603635137,14988067.818323601
0.7112313885630763,0.7558500880773616,17478191.351491515
0.7147863960284693,0.7609195919473677,20301604.653629232
0.7183414034938621,0.7660143719735316,23487908.232224014
0.7218964109592549,0.7711344281558535,27066720.531381033
0.7254514184246479,0.7762797604943336,31067166.26464249
0.7290064258900407,0.7814503689889715,35517295.8027611
0.7325614333554337,0.7866462536397675,40443440.21455773
0.7361164408208265,0.7918674144467214,45869509.221601106
0.7396714482862194,0.7971138514098334,51816242.133244894
0.7432264557516123,0.8023855645291033,58300424.68753412
0.7467814632170052,0.8076825538045314,65334087.53113372
0.7503364706823981,0.8130048192361172,72923704.71010177
0.7538914781477909,0.8183523608238611,81069412.88753052
0.7574464856131838,0.8237251785677631,89764273.92432562
0.7610014930785767,0.829123272467823,98993604.82880878
0.7645565005439696,0.834546642524041,108734399.78087713
0.7681115080093625,0.8399952887364169,118954868.86401068
0.7716665154747554,0.8454692111049509,129614117.21235496
0.7752215229401482,0.8509684096296428,140661986.44714388
0.7787765304055411,0.8564928843104926,152039077.51786405
0.782331537870934,0.8620426351475007,163676970.39688623
0.7858865453363268,0.8676176621406665,175498651.56127158
0.7894415528017198,0.8732179652899905,187419154.93215394
0.7929965602671126,0.8788435445954724,199346416.07211357
0.7965515677325056,0.8844944000571124,211182333.1410398
0.8001065751978984,0.8901705316749102,222824021.59072688
0.8036615826632914,0.8958719394488662,234165243.07096165
0.8072165901286842,0.9015986233789801,245097982.77159
0.810771597594077,0.907350583465252,255514143.68829238
0.81432660505947,0.913127819707682,265307321.31861547
0.8178816125248628,0.9189303321062698,274374618.29148185
0.8214366199902557,0.9247581206610158,282618455.6064826
0.8249916274556486,0.9306111853719197,289948335.65696234
0.8285466349210415,0.9364895262389816,296282512.1415851
0.8321016423864344,0.9423931432622015,301549523.3773672
0.8356566498518273,0.9483220364415795,305689548.4036354
0.8392116573172201,0.9542762057771154,308655549.53598666
0.842766664782613,0.9602556512688092,310414170.5619515
0.8463216722480059,0.9662603729166611,310946366.3790025
0.8498766797133988,0.9722903707206709,310247747.3287015
0.8534316871787917,0.978345644680839,308328629.5102584
0.8569866946441845,0.9844261947971648,305213790.6688089
0.8605417021095775,0.9905320210696488,300941939.5463943
0.8640967095749703,0.9966631234982906,295564914.552103
0.8676517170403633,1.0028195020830906,289146634.9706393
0.8712067245057561,1.0090011568240485,281761834.4250278
0.8747617319711489,1.0152080877211642,273494611.7232064
0.8783167394365419,1.0214402947744383,264436838.38056254
0.8818717469019347,1.02769777798387,254686464.9043047
0.8854267543673277,1.03398053734946,244345769.29650876
0.8889817618327205,1.0402885728712077,233519591.17925736
0.8925367692981134,1.0466218845491138,222313593.52864194
0.8960917767635063,1.0529804723831777,210832591.33125225
0.8996467842288991,1.0593643363733993,199178982.70312628
0.903201791694292,1.0657734765197793,187451313.3256669
0.9067567991596849,1.072207892822317,175742999.67056432
0.9103118066250778,1.078667585281013,164141230.63683033
0.9138668140904707,1.0851525538958668,152726061.1412085
0.9174218215558636,1.0916627986668788,141569705.11520493
0.9209768290212564,1.0981983195940486,130736029.48077096
0.9245318364866494,1.1047591166773767,120280245.1898894
0.9280868439520422,1.1113451899168623,110248786.47946824
0.931641851417435,1.1179565393125062,100679365.23679872
0.935196858882828,1.124593164864308,91601183.88045408
0.9387518663482208,1.1312550665722678,83035287.48740523
0.9423068738136138,1.1379422444363858,74995034.05493243
0.9458618812790066,1.1446546984566615,67486660.75809677
0.9494168887443996,1.1513924286330957,60509923.80243733
0.9529718962097924,1.1581554349656873,54058789.90741431
0.9565269036751853,1.1649437174544373,48122158.49870621
0.9600819111405782,1.171757276099345,42684595.234996416
0.963636918605971,1.1785961109004108,37727059.43737119
0.967191926071364,1.1854602218576349,33227610.216238905
0.9707469335367568,1.1923496089710164,29162078.492745887
0.9743019410021497,1.1992642722405564,25504694.58800969
0.9778569484675426,1.2062042116662544,22228663.51276352
0.9814119559329355,1.2131694272481102,19306682.45377063
0.9849669633983283,1.2201599189861239,16711397.156851446
0.9885219708637213,1.2271756868802959,14415795.900165204
0.9920769783291141,1.2342167309306256,12393541.499928588
0.995631985794507,1.2412830511371133,10619243.273284346
0.9991869932598999,1.2483746474997592,9068672.090737533
1.0027420007252927,1.255491520018563,7718922.586425388
1.0062970081906857,1.262633668693525,6548527.270259636
1.0098520156560784,1.2698010935246444,5537527.721282932
1.0134070231214714,1.2769937945119223,4667508.261040846
1.0169620305868643,1.2842117716553583,3921597.5379571063
1.0205170380522572,1.2914550249549523,3284443.328734914
1.02407204551765,1.2987235544107036,2742165.611446927
1.027627052983043,1.3060173600226137,2282292.6168896
1.0311820604484359,1.3133364417906817,1893684.1479317932
1.0347370679138286,1.320680799714907,1566445.9962060335
