n,slope,h1,h1_order,vol,new_prime,formula,match,cover_vol,vol_ratio,PASS,elapsed_s
1,"(-1, 3)",Z/5,5,0.9813688288922322,11,11,True,4.906844144461162,5.000000000000001,True,0.0
2,"(-2, 5)",Z/5,5,1.6104697112895232,31,31,True,8.052348556447617,5.000000000000001,True,0.0
3,"(-3, 7)",Z/5,5,1.807793115131561,61,61,True,9.038965575657807,5.000000000000001,True,0.0
4,"(-4, 9)",Z/5,5,1.8932154816443754,101,101,True,9.466077408221874,4.999999999999999,True,0.0
5,"(-5, 11)",Z/5,5,1.9375518050059264,151,151,True,9.687759025029633,5.000000000000001,True,0.0
6,"(-6, 13)",Z/5,5,1.963414393517137,211,211,True,9.817071967585687,5.000000000000001,True,0.0
