index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.636678,0.00e+00,0.7771,0.1006,0.6213,0.1304,0.9915,0.0025,0.6158,0.0830,0.7835
1,m003,0.981369,0.327191,0.00e+00,0.9426,0.1777,0.2825,0.2007,0.9782,0.0542,0.2667,0.1078,0.9577
2,m007,1.014942,0.406718,0.00e+00,0.9802,0.0800,0.1810,0.0191,0.9487,0.3157,0.1969,0.3060,0.9314
3,m003,1.263709,0.165885,0.00e+00,0.9652,0.2471,0.0856,0.2497,0.9681,0.0208,0.0777,0.0415,0.9961
4,m004,1.284485,0.390334,0.00e+00,0.9614,0.0000,0.2750,0.0000,1.0000,0.0000,0.2750,0.0000,0.9614
5,m004,1.398509,0.289238,0.00e+00,0.9999,0.0000,0.0135,0.0000,1.0000,0.0000,0.0135,0.0000,0.9999
6,m009,1.414061,0.610275,0.00e+00,0.8308,0.4349,0.3472,0.2308,0.8370,0.4961,0.5064,0.3320,0.7958
7,m003,1.414061,0.283452,0.00e+00,0.9548,0.1872,0.2309,0.2026,0.9783,0.0444,0.2176,0.0892,0.9720
8,m003,1.423612,0.339021,0.00e+00,0.9125,0.2974,0.2809,0.3320,0.9396,0.0838,0.2390,0.1697,0.9561
9,m004,1.440699,0.292800,0.00e+00,0.9986,0.0000,0.0522,0.0000,1.0000,0.0000,0.0522,0.0000,0.9986
10,m004,1.463777,0.337818,0.00e+00,0.9831,0.0000,0.1831,0.0000,1.0000,0.0000,0.1831,0.0000,0.9831
11,m004,1.529477,0.310670,0.00e+00,0.9927,0.0000,0.1203,0.0000,1.0000,0.0000,0.1203,0.0000,0.9927
12,m003,1.543569,0.210838,0.00e+00,0.9582,0.2474,0.1435,0.2547,0.9664,0.0347,0.1301,0.0698,0.9890
13,m007,1.543569,0.307713,0.00e+00,0.9937,0.0000,0.1118,0.0000,1.0000,0.0000,0.1118,0.0000,0.9937
14,m007,1.583167,0.331724,0.00e+00,0.9924,0.0258,0.1201,0.0026,0.9820,0.1887,0.1228,0.1869,0.9747
15,m007,1.583167,0.511318,0.00e+00,0.9958,0.0526,0.0747,0.0097,0.8744,0.4851,0.0908,0.4823,0.8713
16,m006,1.588647,0.348917,0.00e+00,1.0000,0.0003,0.0012,0.0000,0.9699,0.2434,0.0013,0.2434,0.9699
17,m003,1.588647,0.213272,0.00e+00,0.9657,0.2134,0.1480,0.2202,0.9750,0.0312,0.1376,0.0627,0.9885
18,m006,1.649610,0.774559,0.00e+00,0.6845,0.1506,0.7133,0.4614,0.8470,0.2639,0.5645,0.5097,0.6493
19,m015,1.757126,0.307181,0.00e+00,0.9999,0.0029,0.0166,0.0003,0.9878,0.1560,0.0169,0.1560,0.9876
20,m007,1.824344,0.345268,0.00e+00,0.9867,0.0350,0.1588,0.0037,0.9812,0.1930,0.1625,0.1899,0.9683
21,m009,1.831931,0.513494,0.00e+00,0.9114,0.1970,0.3613,0.0586,0.9312,0.3598,0.4073,0.3067,0.8603
22,m010,1.831931,0.731434,0.00e+00,0.6125,0.4262,0.6658,0.5343,0.8439,0.0487,0.5826,0.3259,0.7445
23,m009,1.831931,0.291464,0.00e+00,0.9991,0.0000,0.0428,0.0000,1.0000,0.0000,0.0428,0.0000,0.9991
24,m011,1.831931,0.288929,0.00e+00,1.0000,0.0004,0.0000,0.0004,1.0000,0.0000,0.0000,0.0000,1.0000
25,m006,1.831931,0.617433,0.00e+00,0.7684,0.4962,0.4042,0.3230,0.8459,0.4245,0.5525,0.1956,0.8102
26,m007,1.843586,0.272345,0.00e+00,0.9998,0.0212,0.0000,0.0212,0.9998,0.0000,0.0000,0.0000,1.0000
27,m009,1.843586,0.594301,0.00e+00,0.8381,0.0001,0.5456,0.0001,1.0000,0.0000,0.5456,0.0000,0.8381
28,m016,1.885415,0.321638,0.00e+00,0.9814,0.0310,0.1896,0.0316,0.9995,0.0004,0.1895,0.0064,0.9819
29,m007,1.885415,0.303825,0.00e+00,0.9961,0.0114,0.0872,0.0007,0.9925,0.1224,0.0880,0.1218,0.9886
30,m006,1.885415,0.598131,0.00e+00,0.8263,0.3892,0.4071,0.1974,0.8771,0.4378,0.5275,0.2814,0.8016
31,m017,1.885415,0.305782,0.00e+00,0.9943,0.0002,0.1065,0.0002,1.0000,0.0000,0.1065,0.0000,0.9943
32,m006,1.885914,0.609670,0.00e+00,0.7574,0.3828,0.5290,0.2797,0.9222,0.2669,0.5901,0.0542,0.8055
33,m010,1.910844,0.688589,0.00e+00,0.6596,0.3964,0.6386,0.4857,0.8732,0.0404,0.5736,0.2835,0.7685
34,m011,1.912210,0.289094,0.00e+00,1.0000,0.0001,0.0000,0.0001,1.0000,0.0000,0.0000,0.0000,1.0000
35,m006,1.922297,0.623940,0.00e+00,0.7477,0.3462,0.5666,0.2628,0.9379,0.2263,0.6097,0.0203,0.7923
36,m006,1.941503,0.673158,0.00e+00,0.7415,0.1595,0.6518,0.1134,0.9872,0.1125,0.6613,0.0095,0.7500
37,m009,1.941503,0.616183,0.00e+00,0.8280,0.3866,0.4062,0.1757,0.8667,0.4668,0.5325,0.3152,0.7855
38,m006,1.953708,0.600701,0.00e+00,0.8220,0.3688,0.4340,0.1795,0.8909,0.4172,0.5405,0.2650,0.7985
39,m006,1.962738,0.612032,0.00e+00,0.7563,0.4549,0.4702,0.3150,0.8831,0.3476,0.5734,0.1148,0.8112
40,m017,1.962738,0.522972,0.00e+00,0.8815,0.0284,0.4713,0.0281,0.9996,0.0077,0.4713,0.0065,0.8819
