manifold,words,sigma,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
m017,Aba/BAA/BBA,1.5,0.331286,0.7693,0.6193,0.1569,0.5082,0.4443,0.7378,0.3872,0.6474,0.6565
m011,aa/Abb/Bab,2.5,0.309736,0.7539,0.6239,0.2059,0.5306,0.3934,0.7508,0.3874,0.6752,0.6277
m034,AA/abA/bAb,3.0,0.309452,0.7738,0.5828,0.2481,0.5346,0.3909,0.7493,0.3397,0.7124,0.6141
m010,aba/bAb/Bab,3.0,0.312349,0.778,0.5974,0.1947,0.5145,0.4278,0.7431,0.3607,0.6783,0.6402
m034,bAB/Aba/AbA,3.0,0.305262,0.7722,0.5985,0.2135,0.5232,0.4081,0.7481,0.3606,0.6894,0.6283
m010,baa/bAB/AAA,3.0,0.309147,0.7683,0.603,0.2148,0.527,0.4054,0.747,0.3633,0.6871,0.6292
m034,aB/ba/AbA,3.0,0.304504,0.7672,0.5907,0.2501,0.5374,0.3791,0.7533,0.3501,0.7123,0.6082
m011,aa/abb/Bab,1.5,0.310038,0.7599,0.6116,0.2201,0.5334,0.3932,0.7489,0.3715,0.6865,0.6251
m011,aaa/Bab/BBA,2.5,0.312887,0.7591,0.6042,0.2423,0.542,0.3804,0.7494,0.3606,0.7002,0.6162
m011,aaa/BAb/BBa,3.0,0.323484,0.8045,0.5491,0.2265,0.5089,0.4404,0.7396,0.3064,0.7103,0.6338
m015,bAb/ABA/BAB,2.0,0.319161,0.7596,0.5866,0.281,0.5532,0.3556,0.7533,0.342,0.7277,0.5946
m015,aB/ba/aba,3.0,0.316343,0.7398,0.6292,0.2384,0.5492,0.3599,0.7542,0.3887,0.6889,0.6118
m038,aba/aBA/bbA,1.5,0.316778,0.7728,0.5942,0.2231,0.5296,0.4099,0.7426,0.3498,0.692,0.6314
m015,bbb/bbA/Bab,3.0,0.306786,0.7519,0.615,0.2375,0.5415,0.3707,0.7546,0.376,0.696,0.6117
m016,aa/bbA/AAb,3.0,0.306522,0.7532,0.6179,0.2257,0.5371,0.3795,0.7533,0.3798,0.6886,0.6177
m026,aaa/aBA/bbb,3.0,0.312396,0.7445,0.6104,0.2704,0.5546,0.34,0.7595,0.3717,0.7154,0.5916
m015,bb/aba/bAb,3.0,0.309484,0.7783,0.5919,0.2096,0.5193,0.4191,0.7448,0.353,0.6885,0.6335
