index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.714202,0.00e+00,0.6594,0.3036,0.6877,0.4221,0.9066,0.0044,0.6221,0.2932,0.7259
1,m003,0.981369,0.747115,0.00e+00,0.7083,0.1874,0.6806,0.4811,0.8337,0.2712,0.5166,0.5195,0.6806
2,m007,1.014942,0.620923,0.00e+00,0.7936,0.4925,0.3573,0.2965,0.8258,0.4797,0.5313,0.2747,0.8014
3,m003,1.263709,0.693028,0.00e+00,0.7469,0.2839,0.6013,0.5327,0.7967,0.2856,0.3979,0.5336,0.7463
4,m004,1.284485,0.629981,0.00e+00,0.8071,0.0138,0.5902,0.0085,0.9999,0.0117,0.5903,0.0045,0.8072
5,m004,1.398509,0.417017,0.00e+00,0.9465,0.0095,0.3225,0.0099,1.0000,0.0005,0.3225,0.0027,0.9466
6,m009,1.414061,0.709191,0.00e+00,0.6583,0.6646,0.3535,0.4779,0.7318,0.4858,0.5816,0.1509,0.7994
7,m003,1.414061,0.731579,0.00e+00,0.7183,0.2071,0.6641,0.4875,0.8309,0.2681,0.4963,0.5164,0.6979
8,m003,1.423612,0.784306,0.00e+00,0.6876,0.1997,0.6981,0.5340,0.7905,0.2999,0.4919,0.5790,0.6502
9,m004,1.440699,0.498472,0.00e+00,0.9021,0.0067,0.4314,0.0074,1.0000,0.0001,0.4314,0.0033,0.9022
10,m004,1.463777,0.590562,0.00e+00,0.8357,0.0253,0.5486,0.0147,0.9996,0.0238,0.5490,0.0118,0.8357
11,m004,1.529477,0.560396,0.00e+00,0.8612,0.0065,0.5082,0.0075,1.0000,0.0001,0.5082,0.0038,0.8613
12,m003,1.543569,0.721463,0.00e+00,0.7285,0.2484,0.6384,0.5231,0.8034,0.2845,0.4422,0.5412,0.7152
13,m007,1.543569,0.555502,0.00e+00,0.8653,0.0044,0.5012,0.0042,1.0000,0.0015,0.5012,0.0008,0.8653
14,m007,1.583167,0.586310,0.00e+00,0.8441,0.3810,0.3772,0.1919,0.8716,0.4510,0.5007,0.3083,0.8089
15,m007,1.583167,0.647863,0.00e+00,0.8449,0.4793,0.2376,0.2658,0.7614,0.5913,0.4643,0.4364,0.7707
16,m006,1.588647,0.571806,0.00e+00,0.9805,0.1599,0.1142,0.0675,0.8198,0.5687,0.1845,0.5499,0.8146
17,m003,1.588647,0.710437,0.00e+00,0.7342,0.2429,0.6340,0.5074,0.8168,0.2747,0.4511,0.5233,0.7229
18,m006,1.649610,0.885029,0.00e+00,0.6053,0.1152,0.7876,0.5485,0.7774,0.3078,0.5768,0.6183,0.5338
19,m015,1.757126,0.538152,0.00e+00,0.9335,0.2702,0.2358,0.1236,0.8596,0.4957,0.3366,0.4336,0.8359
20,m007,1.824344,0.596394,0.00e+00,0.8255,0.3946,0.4035,0.2048,0.8757,0.4374,0.5259,0.2784,0.8037
21,m009,1.831931,0.657006,0.00e+00,0.7213,0.5418,0.4315,0.3633,0.8264,0.4303,0.5897,0.1536,0.7929
22,m010,1.831931,0.754210,0.00e+00,0.5863,0.4448,0.6771,0.5666,0.8225,0.0497,0.5790,0.3545,0.7342
23,m009,1.831931,0.484065,0.00e+00,0.9102,0.0096,0.4141,0.0098,1.0000,0.0018,0.4141,0.0024,0.9102
24,m011,1.831931,0.181881,0.00e+00,0.9906,0.1358,0.0126,0.1358,0.9907,0.0031,0.0129,0.0014,0.9999
25,m006,1.831931,0.707666,0.00e+00,0.6329,0.6600,0.4048,0.5096,0.7487,0.4239,0.5828,0.0620,0.8102
26,m007,1.843586,0.224882,0.00e+00,0.9320,0.3533,0.0813,0.3555,0.9346,0.0131,0.0714,0.0411,0.9966
27,m009,1.843586,0.691922,0.00e+00,0.7423,0.0520,0.6681,0.0673,0.9977,0.0028,0.6667,0.0428,0.7441
