index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
28,m016,1.885415,0.571151,0.00e+00,0.7860,0.2749,0.5538,0.3330,0.9429,0.0045,0.5210,0.1880,0.8326
29,m007,1.885415,0.564526,0.00e+00,0.8695,0.3164,0.3794,0.1392,0.8938,0.4264,0.4740,0.3179,0.8211
30,m006,1.885415,0.694124,0.00e+00,0.6611,0.6282,0.4102,0.4622,0.7717,0.4369,0.5910,0.0993,0.8006
31,m017,1.885415,0.525745,0.00e+00,0.8632,0.0893,0.4969,0.1053,0.9944,0.0043,0.4938,0.0560,0.8678
32,m006,1.885914,0.690151,0.00e+00,0.6337,0.5620,0.5316,0.4940,0.8228,0.2810,0.5953,0.0845,0.7990
33,m010,1.910844,0.744559,0.00e+00,0.5986,0.4343,0.6731,0.5545,0.8311,0.0431,0.5781,0.3474,0.7383
34,m011,1.912210,0.203657,0.00e+00,0.9937,0.1092,0.0258,0.1092,0.9940,0.0011,0.0258,0.0017,0.9997
35,m006,1.922297,0.691843,0.00e+00,0.6330,0.5297,0.5645,0.4874,0.8393,0.2411,0.6015,0.1226,0.7894
36,m006,1.941503,0.693397,0.00e+00,0.6543,0.4045,0.6389,0.4092,0.8999,0.1506,0.6359,0.1629,0.7544
37,m009,1.941503,0.697816,0.00e+00,0.6648,0.6287,0.4034,0.4512,0.7683,0.4540,0.5954,0.1198,0.7945
38,m006,1.953708,0.690181,0.00e+00,0.6625,0.6113,0.4329,0.4529,0.7872,0.4185,0.5966,0.0812,0.7984
39,m006,1.962738,0.697862,0.00e+00,0.6304,0.6175,0.4704,0.5065,0.7864,0.3536,0.5883,0.0153,0.8085
40,m017,1.962738,0.653345,0.00e+00,0.7236,0.2571,0.6405,0.3056,0.9514,0.0366,0.6188,0.1692,0.7671
41,m023,2.014337,0.560424,0.00e+00,0.8587,0.0219,0.5120,0.0082,0.9995,0.0289,0.5124,0.0206,0.8585
42,m007,2.025945,0.573293,0.00e+00,0.8884,0.3311,0.3181,0.1461,0.8607,0.4878,0.4353,0.3868,0.8130
43,m006,2.028853,0.713420,0.00e+00,0.6735,0.2531,0.6945,0.3933,0.9182,0.0468,0.6259,0.3046,0.7180
44,m036,2.029883,0.563728,0.00e+00,0.8287,0.1162,0.5475,0.1927,0.9776,0.0843,0.5255,0.1754,0.8325
45,m015,2.029883,0.482775,0.00e+00,0.9755,0.1785,0.1289,0.0988,0.8780,0.4684,0.1967,0.4442,0.8741
46,m016,2.029883,0.440261,0.00e+00,0.8970,0.1558,0.4137,0.1984,0.9782,0.0618,0.3951,0.1376,0.9083
47,m010,2.029883,0.723342,0.00e+00,0.5843,0.5894,0.5579,0.5697,0.7875,0.2352,0.5780,0.1804,0.7958
48,m019,2.029883,0.245259,0.00e+00,0.9987,0.0512,0.0037,0.0511,0.9984,0.0243,0.0049,0.0241,0.9997
49,m011,2.029883,0.587968,0.00e+00,0.7942,0.1857,0.5786,0.2626,0.9635,0.0512,0.5480,0.1926,0.8140
