length,twist,mult
0.3760966688599023,-2.6928201203434003,1
0.49057469679737997,3.1121459558834883,1
0.9415956815195811,1.9608012648091413,2
1.4224296970154027,2.434888493089569,2
1.7290034329859825,1.1735664980522853,1
1.7717157040955787,-3.0547835640409757,2
2.0192625681794554,-0.10051144413871416,2
2.041825266042539,-1.0551589166902582,1
2.0887794302581146,2.6560725659136453,2
2.1615289616164666,2.5822012780551695,1
2.431740834074843,0.9559038158095781,2
2.509166228596759,-1.8131241965977982,2
2.5834399399025663,0.5025918241560594,2
2.6421216741427833,-2.587338434360321,2
2.6749786357279013,1.4761996607492387,2
2.6826341227330204,-2.034051391802554,2
2.7022413218820236,-2.219789932359158,2
2.7239243330575342,-2.7045695768444724,2
2.7569955840585205,-0.9968767668879677,2
2.772185656252935,2.551921070467448,2
2.838741834902742,-1.1138237789008985,2
2.903668575059564,2.729766365706502,2
2.9367703152285656,2.1203096923031435,2
2.9460177908773257,0.11323916487515986,1
2.9637663914912595,1.4322821818742233,2
2.9746690467417007,-2.5017848077496643,2
3.0772742140243525,-1.3523683849940042,2
3.0866560855263017,2.8774063133664076,2
3.161647223612511,-2.656715245201237,1
3.169303812153472,0.15446321808522037,1
3.173066378838533,-0.29832515043549246,2
3.181505177636917,1.3840490216814683,2
3.1927969820720645,-2.8214921281992402,2
3.1964797567589365,-2.5661404427586905,1
3.1990683768343837,-0.4141897824380128,2
3.256851205445436,-2.7550377308706806,2
3.2983717063965603,-2.50854065824114,2
3.3266989308604034,1.3595746641135926,4
3.3522986005569115,1.4529338507095904,1
3.3587304683247368,0.21992590669117942,2
3.3759956080302276,0.7285916084474326,2
3.414622223315576,-1.56102862487469,2
3.428419411364884,1.7955816068459711,2
3.4295605111235843,2.5370909311368215,2
3.4389512808513962,2.093995601336624,4
3.461804618778117,-1.620147868797161,2
3.465436632844265,0.07441833518345271,2
3.503750185417299,2.247371315783505,2
3.5135431045030883,1.0696975139441387,2
3.535344246330271,-1.162511055887542,2
3.549368660355066,1.750182352394237,1
3.5493979405916134,-2.7659839790189653,2
3.551331859649953,0.46271519457624977,1
3.559785372784838,0.5806677370300201,1
3.5728799759645593,-1.1923415768096721,2
3.6040169971493454,3.041642107740826,2
3.622858680909965,1.3931810069588564,2
3.6247432590073156,-0.40681846316625686,2
3.6285528024541933,-2.473637923376096,2
3.630929439943429,1.5501368658979535,2
3.6423412347475868,-2.524528476821557,2
3.6562472078722097,-0.6070375120220501,2
3.6566973292023888,-0.5683286023459759,4
3.7030730703086494,0.9011249318916406,2
3.712805766157948,-2.4983200232954683,2
3.715089269154905,0.7421721205627783,2
3.7162383185351824,0.5094277234021428,2
3.734525560028237,0.20994485681920477,4
3.73898539390051,-1.3597965456721663,4
3.74166691621942,3.037724263391772,2
3.7501873273449498,0.7986471974645187,2
3.7655502386503983,-2.8423419709575,2
3.778856954752796,-1.9154409806023303,2
3.782919045811834,-0.22302821774285694,2
3.7883100203828293,-0.683043593842556,2
3.791373680607412,1.9586174671356393,1
3.7998207554368397,1.8446022993700746,4
3.8088744120160203,2.725281096174468,2
3.8165021031641237,-0.9998539023961808,1
3.8210104025582887,2.228921541601892,2
3.830187057600287,0.1427403868528289,2
3.835060072860215,2.2483145517945986,2
3.84107048012798,0.05965212444376152,1
3.8512974202701273,-1.3397552282814007,2
3.8538751460835243,2.2905784035355223,1
3.8787359283265768,1.869424267252137,2
