manifold_e,manifold_nu,fitness,fit_e,fit_nu
m010,m007,1.336232,0.3199,0.321
m010,m003,1.339594,0.3199,0.3194
m010,m004,1.344567,0.3199,0.3254
m010,m004,1.332063,0.3199,0.3192
m010,m009,1.344221,0.3199,0.3218
m010,m003,1.327416,0.3199,0.3204
m010,m003,1.3364,0.3199,0.3197
m010,m004,1.330136,0.3199,0.3224
m010,m004,1.339751,0.3199,0.3193
m010,m004,1.337684,0.3199,0.3201
m010,m003,1.326801,0.3199,0.3215
m010,m007,1.340153,0.3199,0.3233
m010,m007,1.319828,0.3199,0.3236
m010,m007,1.342453,0.3199,0.3212
m010,m006,1.334146,0.3199,0.3198
m010,m003,1.330485,0.3199,0.3204
m010,m006,1.343613,0.3199,0.3224
m010,m015,1.342669,0.3199,0.3208
m010,m007,1.336015,0.3199,0.3274
m010,m009,1.326836,0.3199,0.321
m010,m009,1.319651,0.3199,0.327
m010,m011,1.324476,0.3199,0.3213
m010,m006,1.338376,0.3199,0.3206
m010,m007,1.340922,0.3199,0.3224
m010,m009,1.338341,0.3199,0.3237
m010,m016,1.344221,0.3199,0.3223
m010,m007,1.347861,0.3199,0.3259
m010,m006,1.329984,0.3199,0.3215
m010,m017,1.333443,0.3199,0.3198
m010,m006,1.337266,0.3199,0.3188
m010,m010,1.337063,0.3199,0.3193
m010,m011,1.33102,0.3199,0.3207
m010,m006,1.327397,0.3199,0.3213
m010,m006,1.334575,0.3199,0.3194
m010,m009,1.33902,0.3199,0.321
m010,m006,1.341064,0.3199,0.3226
m010,m006,1.328618,0.3199,0.321
m010,m017,1.335771,0.3199,0.3227
m010,m023,1.345651,0.3199,0.3228
m010,m007,1.339151,0.3199,0.3195
m010,m006,1.34281,0.3199,0.3206
m010,m036,1.325319,0.3199,0.3226
m010,m015,1.32549,0.3199,0.3215
m010,m016,1.336743,0.3199,0.3247
m010,m010,1.335059,0.3199,0.3201
m010,m019,1.347203,0.3199,0.3267
m010,m011,1.328279,0.3199,0.3204
m010,m010,1.323764,0.3199,0.323
m010,m007,1.336446,0.3199,0.3212
m010,m010,1.33743,0.3199,0.3204
m010,m016,1.327083,0.3199,0.3219
m010,m009,1.339057,0.3199,0.3218
m010,m009,1.32554,0.3199,0.322
m010,m007,1.323832,0.3199,0.3215
m010,m015,1.331409,0.3199,0.3223
m010,m010,1.341548,0.3199,0.3239
m010,m016,1.334247,0.3199,0.3223
m009,m003,1.327822,0.327,0.3201
m009,m003,1.318346,0.327,0.3197
m009,m007,1.324592,0.327,0.321
m009,m003,1.327829,0.327,0.3194
m009,m004,1.33258,0.327,0.3254
m009,m004,1.320466,0.327,0.3192
m009,m009,1.332343,0.327,0.3218
m009,m003,1.315941,0.327,0.3204
m009,m003,1.324688,0.327,0.3197
m009,m004,1.318561,0.327,0.3224
m009,m004,1.327981,0.327,0.3193
m009,m004,1.325926,0.327,0.3201
m009,m003,1.315353,0.327,0.3215
m009,m007,1.328324,0.327,0.3233
m009,m007,1.308486,0.327,0.3236
m009,m007,1.330649,0.327,0.3212
m009,m006,1.322485,0.327,0.3198
m009,m003,1.318938,0.327,0.3204
m009,m006,1.331698,0.327,0.3224
m009,m015,1.330845,0.327,0.3208
m009,m007,1.324268,0.327,0.3274
m009,m009,1.315364,0.327,0.321
m009,m010,1.318264,0.327,0.3199
m009,m011,1.313054,0.327,0.3213
m009,m006,1.326618,0.327,0.3206
m009,m007,1.329147,0.327,0.3224
m009,m009,1.326689,0.327,0.3237
m009,m016,1.332284,0.327,0.3223
m009,m007,1.335913,0.327,0.3259
m009,m006,1.31849,0.327,0.3215
m009,m017,1.321859,0.327,0.3198
m009,m006,1.325554,0.327,0.3188
m009,m010,1.325385,0.327,0.3193
m009,m011,1.319469,0.327,0.3207
m009,m006,1.315892,0.327,0.3213
m009,m006,1.322944,0.327,0.3194
m009,m009,1.327268,0.327,0.321
m009,m006,1.32922,0.327,0.3226
m009,m006,1.317135,0.327,0.321
m009,m017,1.324147,0.327,0.3227
m009,m023,1.333704,0.327,0.3228
m009,m007,1.327376,0.327,0.3195
m009,m006,1.330956,0.327,0.3206
m009,m036,1.313905,0.327,0.3226
m009,m015,1.314032,0.327,0.3215
m009,m016,1.325164,0.327,0.3247
m009,m010,1.323372,0.327,0.3201
m009,m019,1.335323,0.327,0.3267
m009,m011,1.316791,0.327,0.3204
m009,m010,1.312374,0.327,0.323
m009,m007,1.324758,0.327,0.3212
m009,m010,1.325759,0.327,0.3204
m009,m016,1.315632,0.327,0.3219
m009,m009,1.327326,0.327,0.3218
m009,m009,1.314084,0.327,0.322
m009,m007,1.312409,0.327,0.3215
m009,m015,1.319833,0.327,0.3223
m009,m010,1.329827,0.327,0.3239
m009,m016,1.322671,0.327,0.3223
m011,m003,1.332899,0.3213,0.3201
m011,m003,1.323316,0.3213,0.3197
m011,m007,1.329615,0.3213,0.321
m011,m003,1.332943,0.3213,0.3194
m011,m004,1.337891,0.3213,0.3254
m011,m004,1.325461,0.3213,0.3192
m011,m009,1.337539,0.3213,0.3218
m011,m003,1.320826,0.3213,0.3204
m011,m003,1.329778,0.3213,0.3197
m011,m004,1.323569,0.3213,0.3224
m011,m004,1.333098,0.3213,0.3193
m011,m004,1.331055,0.3213,0.3201
m011,m003,1.320215,0.3213,0.3215
m011,m007,1.333519,0.3213,0.3233
m011,m007,1.313278,0.3213,0.3236
m011,m007,1.335783,0.3213,0.3212
m011,m006,1.32754,0.3213,0.3198
m011,m003,1.323898,0.3213,0.3204
m011,m006,1.33694,0.3213,0.3224
m011,m015,1.335996,0.3213,0.3208
m011,m007,1.329433,0.3213,0.3274
m011,m009,1.320262,0.3213,0.321
m011,m010,1.32318,0.3213,0.3199
m011,m009,1.313111,0.3213,0.327
m011,m006,1.331745,0.3213,0.3206
m011,m007,1.334281,0.3213,0.3224
m011,m009,1.331728,0.3213,0.3237
m011,m016,1.33754,0.3213,0.3223
m011,m007,1.341161,0.3213,0.3259
m011,m006,1.323382,0.3213,0.3215
m011,m017,1.326821,0.3213,0.3198
m011,m006,1.330628,0.3213,0.3188
m011,m010,1.330424,0.3213,0.3193
m011,m011,1.324432,0.3213,0.3207
m011,m006,1.320832,0.3213,0.3213
m011,m006,1.327958,0.3213,0.3194
m011,m009,1.332386,0.3213,0.321
m011,m006,1.334419,0.3213,0.3226
m011,m006,1.322027,0.3213,0.321
m011,m017,1.329172,0.3213,0.3227
m011,m023,1.338959,0.3213,0.3228
m011,m007,1.332506,0.3213,0.3195
m011,m006,1.336137,0.3213,0.3206
m011,m036,1.318749,0.3213,0.3226
m011,m015,1.31893,0.3213,0.3215
m011,m016,1.330139,0.3213,0.3247
m011,m010,1.328449,0.3213,0.3201
m011,m019,1.340516,0.3213,0.3267
m011,m011,1.321685,0.3213,0.3204
m011,m010,1.3172,0.3213,0.323
m011,m007,1.329834,0.3213,0.3212
m011,m010,1.330796,0.3213,0.3204
m011,m016,1.320507,0.3213,0.3219
m011,m009,1.332429,0.3213,0.3218
m011,m009,1.318985,0.3213,0.322
m011,m007,1.317271,0.3213,0.3215
m011,m015,1.324835,0.3213,0.3223
m011,m010,1.334905,0.3213,0.3239
m011,m016,1.327651,0.3213,0.3223
m006,m003,1.346244,0.3206,0.3201
m006,m003,1.336348,0.3206,0.3197
m006,m007,1.342792,0.3206,0.321
m006,m003,1.346464,0.3206,0.3194
m006,m004,1.352269,0.3206,0.3254
m006,m004,1.33857,0.3206,0.3192
m006,m009,1.351358,0.3206,0.3218
m006,m003,1.333466,0.3206,0.3204
m006,m003,1.34327,0.3206,0.3197
m006,m004,1.336817,0.3206,0.3224
m006,m004,1.346629,0.3206,0.3193
m006,m004,1.344711,0.3206,0.3201
m006,m003,1.332755,0.3206,0.3215
m006,m007,1.347458,0.3206,0.3233
m006,m007,1.325603,0.3206,0.3236
m006,m007,1.349344,0.3206,0.3212
m006,m006,1.340912,0.3206,0.3198
m006,m003,1.336873,0.3206,0.3204
m006,m006,1.351,0.3206,0.3224
m006,m015,1.349629,0.3206,0.3208
m006,m007,1.343348,0.3206,0.3274
m006,m009,1.333001,0.3206,0.321
m006,m010,1.335931,0.3206,0.3199
m006,m009,1.325236,0.3206,0.327
m006,m011,1.330395,0.3206,0.3213
m006,m007,1.347906,0.3206,0.3224
m006,m009,1.344966,0.3206,0.3237
m006,m016,1.351651,0.3206,0.3223
m006,m007,1.355155,0.3206,0.3259
m006,m006,1.336017,0.3206,0.3215
m006,m017,1.339718,0.3206,0.3198
m006,m006,1.344007,0.3206,0.3188
m006,m010,1.343637,0.3206,0.3193
m006,m011,1.33742,0.3206,0.3207
m006,m006,1.333782,0.3206,0.3213
m006,m006,1.34111,0.3206,0.3194
m006,m009,1.345964,0.3206,0.321
m006,m006,1.348349,0.3206,0.3226
m006,m006,1.334685,0.3206,0.321
m006,m017,1.342393,0.3206,0.3227
m006,m023,1.353024,0.3206,0.3228
m006,m007,1.346127,0.3206,0.3195
m006,m006,1.349912,0.3206,0.3206
m006,m036,1.33124,0.3206,0.3226
m006,m015,1.331702,0.3206,0.3215
m006,m016,1.343101,0.3206,0.3247
m006,m010,1.341911,0.3206,0.3201
m006,m019,1.354272,0.3206,0.3267
m006,m011,1.334355,0.3206,0.3204
m006,m010,1.329633,0.3206,0.323
m006,m007,1.34327,0.3206,0.3212
m006,m010,1.343997,0.3206,0.3204
m006,m016,1.333121,0.3206,0.3219
m006,m009,1.345943,0.3206,0.3218
m006,m009,1.331775,0.3206,0.322
m006,m007,1.329878,0.3206,0.3215
m006,m015,1.338026,0.3206,0.3223
m006,m010,1.348246,0.3206,0.3239
m006,m016,1.34067,0.3206,0.3223
m007,m003,1.350539,0.3224,0.3201
m007,m003,1.34065,0.3224,0.3197
m007,m007,1.347089,0.3224,0.321
m007,m003,1.35071,0.3224,0.3194
m007,m004,1.356309,0.3224,0.3254
m007,m004,1.342868,0.3224,0.3192
m007,m009,1.355559,0.3224,0.3218
m007,m003,1.337882,0.3224,0.3204
m007,m003,1.347487,0.3224,0.3197
m007,m004,1.341031,0.3224,0.3224
m007,m004,1.350874,0.3224,0.3193
m007,m004,1.348891,0.3224,0.3201
m007,m003,1.337194,0.3224,0.3215
m007,m007,1.351564,0.3224,0.3233
m007,m007,1.330059,0.3224,0.3236
m007,m007,1.353601,0.3224,0.3212
m007,m006,1.345141,0.3224,0.3198
m007,m003,1.34119,0.3224,0.3204
m007,m006,1.355123,0.3224,0.3224
m007,m015,1.353871,0.3224,0.3208
m007,m007,1.347396,0.3224,0.3274
m007,m009,1.337368,0.3224,0.321
m007,m010,1.340331,0.3224,0.3199
m007,m009,1.329735,0.3224,0.327
m007,m011,1.334836,0.3224,0.3213
m007,m006,1.349566,0.3224,0.3206
m007,m009,1.349239,0.3224,0.3237
m007,m016,1.35577,0.3224,0.3223
m007,m007,1.359331,0.3224,0.3259
m007,m006,1.340448,0.3224,0.3215
m007,m017,1.344101,0.3224,0.3198
m007,m006,1.348274,0.3224,0.3188
m007,m010,1.347953,0.3224,0.3193
m007,m011,1.341733,0.3224,0.3207
m007,m006,1.338078,0.3224,0.3213
m007,m006,1.345415,0.3224,0.3194
m007,m009,1.35017,0.3224,0.321
m007,m006,1.352471,0.3224,0.3226
m007,m006,1.339097,0.3224,0.321
m007,m017,1.346653,0.3224,0.3227
m007,m023,1.35717,0.3224,0.3228
m007,m007,1.350337,0.3224,0.3195
m007,m006,1.354114,0.3224,0.3206
m007,m036,1.335672,0.3224,0.3226
m007,m015,1.336043,0.3224,0.3215
m007,m016,1.347439,0.3224,0.3247
m007,m010,1.346121,0.3224,0.3201
m007,m019,1.358497,0.3224,0.3267
m007,m011,1.338767,0.3224,0.3204
m007,m010,1.334074,0.3224,0.323
m007,m007,1.347488,0.3224,0.3212
m007,m010,1.348308,0.3224,0.3204
m007,m016,1.337526,0.3224,0.3219
m007,m009,1.35016,0.3224,0.3218
m007,m009,1.336105,0.3224,0.322
m007,m007,1.334268,0.3224,0.3215
m007,m015,1.342265,0.3224,0.3223
m007,m010,1.352529,0.3224,0.3239
m007,m016,1.344984,0.3224,0.3223
m009,m003,1.34883,0.3237,0.3201
m009,m003,1.33905,0.3237,0.3197
m009,m007,1.345436,0.3237,0.321
m009,m003,1.348933,0.3237,0.3194
m009,m004,1.354202,0.3237,0.3254
m009,m004,1.341243,0.3237,0.3192
m009,m009,1.35367,0.3237,0.3218
m009,m003,1.336437,0.3237,0.3204
m009,m003,1.345715,0.3237,0.3197
m009,m004,1.339341,0.3237,0.3224
m009,m004,1.349094,0.3237,0.3193
m009,m004,1.347057,0.3237,0.3201
m009,m003,1.335786,0.3237,0.3215
m009,m007,1.349619,0.3237,0.3233
m009,m007,1.328727,0.3237,0.3236
m009,m007,1.35181,0.3237,0.3212
m009,m006,1.343413,0.3237,0.3198
m009,m003,1.339612,0.3237,0.3204
m009,m006,1.35314,0.3237,0.3224
m009,m015,1.352053,0.3237,0.3208
m009,m007,1.345446,0.3237,0.3274
m009,m009,1.335879,0.3237,0.321
m009,m010,1.338845,0.3237,0.3199
m009,m009,1.328476,0.3237,0.327
m009,m011,1.333445,0.3237,0.3213
m009,m006,1.347741,0.3237,0.3206
m009,m007,1.350284,0.3237,0.3224
m009,m016,1.35377,0.3237,0.3223
m009,m007,1.357373,0.3237,0.3259
m009,m006,1.339006,0.3237,0.3215
m009,m017,1.342562,0.3237,0.3198
m009,m006,1.346551,0.3237,0.3188
m009,m010,1.346293,0.3237,0.3193
m009,m011,1.34015,0.3237,0.3207
m009,m006,1.336504,0.3237,0.3213
m009,m006,1.343775,0.3237,0.3194
m009,m009,1.348366,0.3237,0.321
m009,m006,1.350532,0.3237,0.3226
m009,m006,1.337644,0.3237,0.321
m009,m017,1.344978,0.3237,0.3227
m009,m023,1.355188,0.3237,0.3228
m009,m007,1.34852,0.3237,0.3195
m009,m006,1.352242,0.3237,0.3206
m009,m036,1.334279,0.3237,0.3226
m009,m015,1.334538,0.3237,0.3215
m009,m016,1.345862,0.3237,0.3247
m009,m010,1.344358,0.3237,0.3201
m009,m019,1.356626,0.3237,0.3267
m009,m011,1.337311,0.3237,0.3204
m009,m010,1.332702,0.3237,0.323
m009,m007,1.345734,0.3237,0.3212
m009,m010,1.346651,0.3237,0.3204
m009,m016,1.336085,0.3237,0.3219
m009,m009,1.348378,0.3237,0.3218
m009,m009,1.334591,0.3237,0.322
m009,m007,1.332829,0.3237,0.3215
m009,m015,1.340597,0.3237,0.3223
m009,m010,1.350814,0.3237,0.3239
m009,m016,1.343387,0.3237,0.3223
m016,m003,1.353201,0.3223,0.3201
m016,m003,1.34318,0.3223,0.3197
m016,m007,1.349682,0.3223,0.321
m016,m003,1.353442,0.3223,0.3194
m016,m004,1.359396,0.3223,0.3254
m016,m004,1.34543,0.3223,0.3192
m016,m009,1.358417,0.3223,0.3218
m016,m003,1.340252,0.3223,0.3204
m016,m003,1.350206,0.3223,0.3197
m016,m004,1.343654,0.3223,0.3224
m016,m004,1.353611,0.3223,0.3193
m016,m004,1.351677,0.3223,0.3201
m016,m003,1.339523,0.3223,0.3215
m016,m007,1.35447,0.3223,0.3233
m016,m007,1.332303,0.3223,0.3236
m016,m007,1.356354,0.3223,0.3212
m016,m006,1.347811,0.3223,0.3198
m016,m003,1.343699,0.3223,0.3204
m016,m006,1.358078,0.3223,0.3224
m016,m015,1.356652,0.3223,0.3208
m016,m007,1.350296,0.3223,0.3274
m016,m009,1.33978,0.3223,0.321
m016,m010,1.342746,0.3223,0.3199
m016,m009,1.3319,0.3223,0.327
m016,m011,1.337148,0.3223,0.3213
m016,m006,1.352344,0.3223,0.3206
m016,m007,1.354887,0.3223,0.3224
m016,m009,1.351862,0.3223,0.3237
m016,m007,1.362269,0.3223,0.3259
m016,m006,1.342817,0.3223,0.3215
m016,m017,1.346577,0.3223,0.3198
m016,m006,1.350947,0.3223,0.3188
m016,m010,1.350558,0.3223,0.3193
m016,m011,1.344247,0.3223,0.3207
m016,m006,1.340577,0.3223,0.3213
m016,m006,1.347995,0.3223,0.3194
m016,m009,1.352927,0.3223,0.321
m016,m006,1.355373,0.3223,0.3226
m016,m006,1.341475,0.3223,0.321
m016,m017,1.349266,0.3223,0.3227
m016,m023,1.360131,0.3223,0.3228
m016,m007,1.35311,0.3223,0.3195
m016,m006,1.356953,0.3223,0.3206
m016,m036,1.337983,0.3223,0.3226
m016,m015,1.338469,0.3223,0.3215
m016,m016,1.34995,0.3223,0.3247
m016,m010,1.348828,0.3223,0.3201
m016,m019,1.36134,0.3223,0.3267
m016,m011,1.341149,0.3223,0.3204
m016,m010,1.336362,0.3223,0.323
m016,m007,1.350187,0.3223,0.3212
m016,m010,1.350911,0.3223,0.3204
m016,m016,1.339887,0.3223,0.3219
m016,m009,1.352893,0.3223,0.3218
m016,m009,1.33854,0.3223,0.322
m016,m007,1.336626,0.3223,0.3215
m016,m015,1.344864,0.3223,0.3223
m016,m010,1.355196,0.3223,0.3239
m016,m016,1.347514,0.3223,0.3223
m007,m003,1.360402,0.3259,0.3201
m007,m003,1.350417,0.3259,0.3197
m007,m007,1.356899,0.3259,0.321
m007,m003,1.360518,0.3259,0.3194
m007,m004,1.365945,0.3259,0.3254
m007,m004,1.352654,0.3259,0.3192
m007,m009,1.365372,0.3259,0.3218
m007,m003,1.347775,0.3259,0.3204
m007,m003,1.357218,0.3259,0.3197
m007,m004,1.350682,0.3259,0.3224
m007,m004,1.360684,0.3259,0.3193
m007,m004,1.358595,0.3259,0.3201
m007,m003,1.347106,0.3259,0.3215
m007,m007,1.361202,0.3259,0.3233
m007,m007,1.339942,0.3259,0.3236
m007,m007,1.363453,0.3259,0.3212
m007,m006,1.354861,0.3259,0.3198
m007,m003,1.350975,0.3259,0.3204
m007,m006,1.364839,0.3259,0.3224
m007,m015,1.363712,0.3259,0.3208
m007,m007,1.356901,0.3259,0.3274
m007,m009,1.347185,0.3259,0.321
m007,m010,1.350225,0.3259,0.3199
m007,m009,1.339652,0.3259,0.327
m007,m011,1.344739,0.3259,0.3213
m007,m006,1.359283,0.3259,0.3206
m007,m007,1.361857,0.3259,0.3224
m007,m009,1.359021,0.3259,0.3237
m007,m016,1.365496,0.3259,0.3223
m007,m006,1.350375,0.3259,0.3215
m007,m017,1.354008,0.3259,0.3198
m007,m006,1.358082,0.3259,0.3188
m007,m010,1.357814,0.3259,0.3193
m007,m011,1.351516,0.3259,0.3207
m007,m006,1.347809,0.3259,0.3213
m007,m006,1.355231,0.3259,0.3194
m007,m009,1.35991,0.3259,0.321
m007,m006,1.362143,0.3259,0.3226
m007,m006,1.348987,0.3259,0.321
m007,m017,1.356399,0.3259,0.3227
m007,m023,1.366945,0.3259,0.3228
m007,m007,1.360096,0.3259,0.3195
m007,m006,1.363914,0.3259,0.3206
m007,m036,1.345556,0.3259,0.3226
m007,m015,1.345817,0.3259,0.3215
m007,m016,1.357278,0.3259,0.3247
m007,m010,1.355827,0.3259,0.3201
m007,m019,1.368357,0.3259,0.3267
m007,m011,1.348661,0.3259,0.3204
m007,m010,1.343958,0.3259,0.323
m007,m007,1.357208,0.3259,0.3212
m007,m010,1.35816,0.3259,0.3204
m007,m016,1.347387,0.3259,0.3219
m007,m009,1.359905,0.3259,0.3218
m007,m009,1.345861,0.3259,0.322
m007,m007,1.344095,0.3259,0.3215
m007,m015,1.35195,0.3259,0.3223
m007,m010,1.362373,0.3259,0.3239
m007,m016,1.354783,0.3259,0.3223
m006,m003,1.34099,0.3215,0.3201
m006,m003,1.331382,0.3215,0.3197
m006,m007,1.337691,0.3215,0.321
m006,m003,1.340986,0.3215,0.3194
m006,m004,1.345745,0.3215,0.3254
m006,m004,1.333532,0.3215,0.3192
m006,m009,1.345552,0.3215,0.3218
m006,m003,1.329004,0.3215,0.3204
m006,m003,1.337779,0.3215,0.3197
m006,m004,1.331542,0.3215,0.3224
m006,m004,1.341141,0.3215,0.3193
m006,m004,1.339024,0.3215,0.3201
m006,m003,1.328413,0.3215,0.3215
m006,m007,1.341419,0.3215,0.3233
m006,m007,1.321475,0.3215,0.3236
m006,m007,1.343844,0.3215,0.3212
m006,m006,1.335546,0.3215,0.3198
m006,m003,1.331979,0.3215,0.3204
m006,m006,1.344874,0.3215,0.3224
m006,m015,1.344044,0.3215,0.3208
m006,m007,1.337251,0.3215,0.3274
m006,m009,1.328385,0.3215,0.321
m006,m010,1.331349,0.3215,0.3199
m006,m009,1.321344,0.3215,0.327
m006,m011,1.326096,0.3215,0.3213
m006,m006,1.339723,0.3215,0.3206
m006,m007,1.342276,0.3215,0.3224
m006,m009,1.339778,0.3215,0.3237
m006,m016,1.345475,0.3215,0.3223
m006,m007,1.349157,0.3215,0.3259
m006,m017,1.334982,0.3215,0.3198
m006,m006,1.338686,0.3215,0.3188
m006,m010,1.338529,0.3215,0.3193
m006,m011,1.33251,0.3215,0.3207
m006,m006,1.328883,0.3215,0.3213
m006,m006,1.336042,0.3215,0.3194
m006,m009,1.340382,0.3215,0.321
m006,m006,1.34234,0.3215,0.3226
m006,m006,1.330201,0.3215,0.321
m006,m017,1.337204,0.3215,0.3227
m006,m023,1.346924,0.3215,0.3228
m006,m007,1.340511,0.3215,0.3195
m006,m006,1.344148,0.3215,0.3206
m006,m036,1.326933,0.3215,0.3226
m006,m015,1.327022,0.3215,0.3215
m006,m016,1.338247,0.3215,0.3247
m006,m010,1.336438,0.3215,0.3201
m006,m019,1.348552,0.3215,0.3267
m006,m011,1.329861,0.3215,0.3204
m006,m010,1.325389,0.3215,0.323
m006,m007,1.337831,0.3215,0.3212
m006,m010,1.338894,0.3215,0.3204
m006,m016,1.328667,0.3215,0.3219
m006,m009,1.340432,0.3215,0.3218
m006,m009,1.327063,0.3215,0.322
m006,m007,1.32541,0.3215,0.3215
m006,m015,1.332834,0.3215,0.3223
m006,m010,1.342979,0.3215,0.3239
m006,m016,1.335733,0.3215,0.3223
m017,m003,1.344586,0.3198,0.3201
m017,m003,1.334903,0.3198,0.3197
m017,m007,1.341248,0.3198,0.321
m017,m003,1.34461,0.3198,0.3194
m017,m004,1.349518,0.3198,0.3254
m017,m004,1.337071,0.3198,0.3192
m017,m009,1.349237,0.3198,0.3218
m017,m003,1.332461,0.3198,0.3204
m017,m003,1.341388,0.3198,0.3197
m017,m004,1.335092,0.3198,0.3224
m017,m004,1.344768,0.3198,0.3193
m017,m004,1.342662,0.3198,0.3201
m017,m003,1.331853,0.3198,0.3215
m017,m007,1.345105,0.3198,0.3233
m017,m007,1.324867,0.3198,0.3236
m017,m007,1.347483,0.3198,0.3212
m017,m006,1.339129,0.3198,0.3198
m017,m003,1.335491,0.3198,0.3204
m017,m006,1.348594,0.3198,0.3224
m017,m015,1.347695,0.3198,0.3208
m017,m007,1.340916,0.3198,0.3274
m017,m009,1.331853,0.3198,0.321
m017,m010,1.334829,0.3198,0.3199
m017,m009,1.324702,0.3198,0.327
m017,m011,1.329525,0.3198,0.3213
m017,m006,1.343358,0.3198,0.3206
m017,m007,1.345915,0.3198,0.3224
m017,m009,1.343345,0.3198,0.3237
m017,m016,1.349206,0.3198,0.3223
m017,m007,1.352879,0.3198,0.3259
m017,m006,1.335042,0.3198,0.3215
m017,m006,1.342281,0.3198,0.3188
m017,m010,1.342098,0.3198,0.3193
m017,m011,1.336025,0.3198,0.3207
m017,m006,1.332382,0.3198,0.3213
m017,m006,1.339594,0.3198,0.3194
m017,m009,1.34401,0.3198,0.321
m017,m006,1.346029,0.3198,0.3226
m017,m006,1.333662,0.3198,0.321
m017,m017,1.340762,0.3198,0.3227
m017,m023,1.350653,0.3198,0.3228
m017,m007,1.344149,0.3198,0.3195
m017,m006,1.347822,0.3198,0.3206
m017,m036,1.33036,0.3198,0.3226
m017,m015,1.330491,0.3198,0.3215
m017,m016,1.341767,0.3198,0.3247
m017,m010,1.340037,0.3198,0.3201
m017,m019,1.352233,0.3198,0.3267
m017,m011,1.333325,0.3198,0.3204
m017,m010,1.328804,0.3198,0.323
m017,m007,1.341429,0.3198,0.3212
m017,m010,1.34246,0.3198,0.3204
m017,m016,1.332116,0.3198,0.3219
m017,m009,1.344049,0.3198,0.3218
m017,m009,1.330534,0.3198,0.322
m017,m007,1.328852,0.3198,0.3215
m017,m015,1.336378,0.3198,0.3223
m017,m010,1.346575,0.3198,0.3239
m017,m016,1.339258,0.3198,0.3223
m006,m003,1.346737,0.3188,0.3201
m006,m003,1.336912,0.3188,0.3197
m006,m007,1.343324,0.3188,0.321
m006,m003,1.346872,0.3188,0.3194
m006,m004,1.352298,0.3188,0.3254
m006,m004,1.339115,0.3188,0.3192
m006,m009,1.351661,0.3188,0.3218
m006,m003,1.33422,0.3188,0.3204
m006,m003,1.343657,0.3188,0.3197
m006,m004,1.337255,0.3188,0.3224
m006,m004,1.347034,0.3188,0.3193
m006,m004,1.345028,0.3188,0.3201
m006,m003,1.333553,0.3188,0.3215
m006,m007,1.347646,0.3188,0.3233
m006,m007,1.326461,0.3188,0.3236
m006,m007,1.349756,0.3188,0.3212
m006,m006,1.341336,0.3188,0.3198
m006,m003,1.337465,0.3188,0.3204
m006,m006,1.351176,0.3188,0.3224
m006,m015,1.35001,0.3188,0.3208
m006,m007,1.343488,0.3188,0.3274
m006,m009,1.333689,0.3188,0.321
m006,m010,1.336648,0.3188,0.3199
m006,m009,1.326179,0.3188,0.327
m006,m011,1.331203,0.3188,0.3213
m006,m006,1.345708,0.3188,0.3206
m006,m007,1.348253,0.3188,0.3224
m006,m009,1.345466,0.3188,0.3237
m006,m016,1.351813,0.3188,0.3223
m006,m007,1.355399,0.3188,0.3259
m006,m006,1.336789,0.3188,0.3215
m006,m017,1.340389,0.3188,0.3198
m006,m010,1.344177,0.3188,0.3193
m006,m011,1.338007,0.3188,0.3207
m006,m006,1.334359,0.3188,0.3213
m006,m006,1.341653,0.3188,0.3194
m006,m009,1.346324,0.3188,0.321
m006,m006,1.348554,0.3188,0.3226
m006,m006,1.335433,0.3188,0.321
m006,m017,1.342883,0.3188,0.3227
m006,m023,1.353222,0.3188,0.3228
m006,m007,1.34648,0.3188,0.3195
m006,m006,1.350225,0.3188,0.3206
m006,m036,1.332043,0.3188,0.3226
m006,m015,1.332359,0.3188,0.3215
m006,m016,1.343722,0.3188,0.3247
m006,m010,1.342298,0.3188,0.3201
m006,m019,1.354615,0.3188,0.3267
m006,m011,1.3351,0.3188,0.3204
m006,m010,1.330456,0.3188,0.323
m006,m007,1.343672,0.3188,0.3212
m006,m010,1.344537,0.3188,0.3204
m006,m016,1.333872,0.3188,0.3219
m006,m009,1.346328,0.3188,0.3218
m006,m009,1.332418,0.3188,0.322
m006,m007,1.330615,0.3188,0.3215
m006,m015,1.3385,0.3188,0.3223
m006,m010,1.348733,0.3188,0.3239
m006,m016,1.341254,0.3188,0.3223
m010,m003,1.347914,0.3193,0.3201
m010,m003,1.33814,0.3193,0.3197
m010,m007,1.344528,0.3193,0.321
m010,m003,1.347987,0.3193,0.3194
m010,m004,1.353137,0.3193,0.3254
m010,m004,1.34033,0.3193,0.3192
m010,m009,1.352699,0.3193,0.3218
m010,m003,1.335588,0.3193,0.3204
m010,m003,1.344756,0.3193,0.3197
m010,m004,1.338389,0.3193,0.3224
m010,m004,1.348148,0.3193,0.3193
m010,m004,1.346076,0.3193,0.3201
m010,m003,1.334952,0.3193,0.3215
m010,m007,1.348599,0.3193,0.3233
m010,m007,1.327904,0.3193,0.3236
m010,m007,1.350873,0.3193,0.3212
m010,m006,1.342462,0.3193,0.3198
m010,m003,1.338713,0.3193,0.3204
m010,m006,1.352123,0.3193,0.3224
m010,m015,1.351105,0.3193,0.3208
m010,m007,1.344403,0.3193,0.3274
m010,m009,1.335007,0.3193,0.321
m010,m010,1.337988,0.3193,0.3199
m010,m009,1.327683,0.3193,0.327
