r,lambda,zeta_abs
0.05,0.2525,1.542124012412747e-17
0.053555007465392886,0.2528681388246183,1.7157195123634698e-17
0.05711001493078577,0.25326155380539456,1.922432017171033e-17
0.06066502239617865,0.2536802449423289,2.1692681248410968e-17
0.06422002986157153,0.25412421223542114,2.4649702036657837e-17
0.06777503732696442,0.2545934556846714,2.820485022696138e-17
0.0713300447923573,0.2550879752900797,3.249570440457415e-17
0.07488505225775019,0.255607771051646,3.7695835820980356e-17
0.07844005972314307,0.25615284296937024,4.402508447077974e-17
0.08199506718853596,0.25672319104325253,5.176300503380386e-17
0.08555007465392883,0.2573188152732928,6.126652417898668e-17
0.08910508211932172,0.2579397156594911,7.299321243443944e-17
0.09266008958471461,0.25858589220184736,8.75320673356925e-17
0.09621509705010749,0.2592573449003616,1.0564437998661714e-16
0.09977010451550036,0.2599540737550339,1.2831818441056176e-16
0.10332511198089325,0.2606760787658641,1.568410659090876e-16
0.10688011944628614,0.2614233599328524,1.9289786821853657e-16
0.11043512691167902,0.26219591725599867,2.3870228241245207e-16
0.11399013437707191,0.2629937507353029,2.971746951696312e-16
0.11754514184246478,0.2638168603707652,3.721834046446344e-16
0.12110014930785767,0.2646652461623854,4.688729236284121e-16
0.12465515677325055,0.2655389081101637,5.9411235624192125e-16
0.12821016423864345,0.26643784621409994,7.571098590429973e-16
0.13176517170403632,0.2673620604741942,9.702575552380218e-16
0.1353201791694292,0.26831155089044645,1.250297216378151e-15
0.13887518663482207,0.26928631746285664,1.619933794680501e-15
0.14243019410021496,0.27028636019142493,2.1100761337446455e-15
0.14598520156560785,0.27131167907615117,2.762958612664282e-15
0.14954020903100074,0.2723622741170354,3.63650377710775e-15
0.15309521649639363,0.2734381453140776,4.8104382076305676e-15
0.15665022396178652,0.2745392926672779,6.394892320225151e-15
0.16020523142717938,0.2756657161766361,8.542529070507092e-15
0.16376023889257227,0.27681741584215236,1.1465699733711569e-14
0.16731524635796516,0.27799439166382656,1.5460779948751086e-14
0.17087025382335802,0.2791966436416588,2.0942788002518795e-14
0.1744252612887509,0.28042417177564904,2.849476458677677e-14
0.1779802687541438,0.2816769760657973,3.893839662743238e-14
0.1815352762195367,0.2829550565121035,5.343528775474979e-14
0.18509028368492958,0.28425841311456773,7.363254218886524e-14
0.18864529115032247,0.28558704587318995,1.0187256775310985e-13
0.19220029861571536,0.28694095478797016,1.4149614834146284e-13
0.1957553060811082,0.28832013985890836,1.9728126292958415e-13
0.19931031354650108,0.28972460108600456,2.760798750385641e-13
0.20286532101189397,0.2911543384692588,3.877440043708464e-13
0.20642032847728686,0.292609352008671,5.464753045210427e-13
0.20997533594267975,0.29408964170424123,7.727957683242552e-13
0.21353034340807264,0.2955952075559694,1.0964309722356292e-12
0.21708535087346553,0.29712604956385563,1.5605362007247507e-12
0.22064035833885842,0.29868216772789985,2.2279018339777923e-12
0.2241953658042513,0.30026356204810206,3.190080301316017e-12
0.22775037326964415,0.3018702325244622,4.58083158809682e-12
0.23130538073503704,0.3035021791569804,6.5959607324367735e-12
0.23486038820042993,0.30515940194565666,9.52262801176143e-12
0.23841539566582282,0.30684190089049085,1.3782713589197124e-11
0.2419704031312157,0.30854967599148303,1.9997056970838442e-11
0.2455254105966086,0.31028272724863326,2.9080732215286082e-11
0.24908041806200149,0.31204105466194143,4.2384507722674954e-11
0.2526354255273944,0.31382465823140765,6.190509046939966e-11
0.2561904329927872,0.3156335379570318,9.05978895045009e-11
0.2597454404581801,0.317467693838814,1.328426789438395e-10
0.263300447923573,0.31932712587675416,1.9513742928168694e-10
0.2668554553889659,0.32121183407085235,2.87132795150833e-10
0.27041046285435877,0.32312181842110854,4.231754101959814e-10
0.27396547031975166,0.3250570789275227,6.246113827391518e-10
0.27752047778514455,0.3270176155900949,9.232258621694078e-10
0.28107548525053744,0.32900342840882507,1.3663806444510003e-09
0.2846304927159303,0.33101451738371324,2.024689935945236e-09
0.28818550018132316,0.3330508825147594,3.0034899825444306e-09
0.29174050764671605,0.3351125238019636,4.459978931423409e-09
0.29529551511210894,0.33719944124532575,6.628829733340722e-09
0.29885052257750183,0.33931163484484594,9.860460923522674e-09
0.3024055300428947,0.34144910460052413,1.4678210357924102e-08
0.3059605375082876,0.34361185051236026,2.1863725874353967e-08
0.30951554497368045,0.3457998725803544,3.258445429958197e-08
0.31307055243907334,0.34801317080450656,4.8583901609496293e-08
0.3166255599044662,0.3502517451848167,7.246542491372055e-08
0.3201805673698591,0.3525155957212849,1.0811528483040168e-07
0.323735574835252,0.35480472241391103,1.6133286914662972e-07
0.3272905823006449,0.3571191252626952,2.407688310936985e-07
0.3308455897660378,0.3594588042676374,3.593204158651433e-07
0.3344005972314307,0.3618237594287375,5.362048800872562e-07
0.33795560469682356,0.3642139907459957,8.00037477225116e-07
0.3415106121622164,0.3666294982194118,1.193395818418859e-06
0.3450656196276093,0.36907028184898594,1.7795806030978928e-06
0.3486206270930022,0.3715363416347181,2.6526173231990397e-06
0.35217563455839507,0.37402767757660826,3.952033315649105e-06
0.35573064202378796,0.37654428967465636,5.884660048328854e-06
0.35928564948918085,0.3790861779288625,8.756753737407767e-06
0.36284065695457374,0.38165334233922665,1.302124524331311e-05
0.3663956644199666,0.3842457829057488,1.9347133874286368e-05
0.36995067188535946,0.3868634996284289,2.872123199076393e-05
0.37350567935075235,0.38950649250726704,4.259708094735193e-05
0.37706068681614524,0.39217476154226316,6.311251087341181e-05
0.38061569428153813,0.39486830673341733,9.34068839285829e-05
0.384170701746931,0.39758712808072944,0.00013808278545255522
0.3877257092123239,0.40033122558419953,0.000203876564920591
0.3912807166777168,0.4031005992438277,0.00030063014995385096
0.3948357241431097,0.4058952490596138,0.00044269642966506147
0.3983907316085026,0.40871517503155796,0.0006509670783307111
0.4019457390738954,0.41156037715966,0.0009557917259658
0.4055007465392883,0.4144308554439201,0.0014011702648275583
0.4090557540046812,0.41732660988433823,0.00205075879547034
0.4126107614700741,0.42024764048091434,0.00299645215901712
0.416165768935467,0.42319394723364845,0.004370616741741456
0.41972077640085986,0.4261655301425406,0.00636347986466569
0.42327578386625275,0.42916238920759076,0.009247782321712977
0.42683079133164564,0.43218452442879884,0.013413630514863112
0.4303857987970385,0.4352319358061649,0.01941762785765811
0.43394080626243137,0.438304623339689,0.028051934157251525
0.43749581372782426,0.4414025870293711,0.04044104698166757
0.44105082119321715,0.4445258268752112,0.05817702083037735
0.44460582865861004,0.4476743428772093,0.08350780350743602
0.4481608361240029,0.4508481350353654,0.11959872401184002
0.4517158435893958,0.4540472033496795,0.17089437076524708
0.4552708510547887,0.4572715478201516,0.24361775058320118
0.4588258585201816,0.4605211684467817,0.34645649212676893
0.46238086598557443,0.46379606522956973,0.491502951197004
0.4659358734509673,0.46709623816851586,0.6955376685467389
0.4694908809163602,0.47042168726361994,0.9817753528500344
0.4730458883817531,0.473772412514882,1.382231472635493
0.476600895847146,0.4771484139223021,1.9409182300952066
0.4801559033125389,0.48054969148588017,2.7181443858787766
0.48371091077793177,0.4839762452056163,3.7962781051493613
0.48726591824332466,0.4874280750815103,5.287440611821857
0.4908209257087175,0.4909051811135624,7.343736951100286
0.4943759331741104,0.4944075633017725,10.170805790343351
0.49793094063950327,0.49793522164614057,14.045691567671248
0.5014859481048962,0.5014881561466666,19.340319641928748
0.505040955570289,0.5050663668033506,26.552200358984287
0.508595963035682,0.5086698536161929,36.34441493954216
0.5121509705010748,0.5122986165851928,49.59746055274523
0.5157059779664678,0.5159526557103509,67.47617152460666
0.5192609854318606,0.519631970991667,91.51570778885115
0.5228159928972534,0.523336562429141,123.7315313804933
0.5263710003626464,0.5270664300227731,166.75939899339792
0.5299260078280392,0.5308215737725631,224.03270566969405
