name,vol,score,j_inv,u11,u12,u13,u21,u22,u23,u31,u32,u33
m016,2.0298832128,1.1929069373852885,3.1595684489674168e-18,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.7886751345948129,0.2113248654051871,0.5773502691896257,0.2113248654051871,0.7886751345948129
m011,1.9122102501,1.1929069373852945,1.36813327090079e-18,0.5773502691896257,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.7886751345948129,0.21132486540518713,0.5773502691896258,0.21132486540518713,0.7886751345948129
m004,1.4637766449,1.1929069373852965,7.898921122418542e-19,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.7886751345948129,0.21132486540518708,0.5773502691896257,0.21132486540518708,0.7886751345948129
m016,1.8854147256,1.1929069373852987,1.0842021724855044e-19,0.5773502691896257,0.577350269189626,0.5773502691896257,0.5773502691896257,0.7886751345948131,0.21132486540518708,0.5773502691896257,0.21132486540518722,0.7886751345948129
m009,1.83193118835,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.7886751345948129,0.2113248654051871,0.5773502691896257,0.2113248654051871,0.7886751345948129
m010,1.8319311884,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.7886751345948129,0.2113248654051871,0.5773502691896257,0.2113248654051871,0.7886751345948129
m007,1.5831666606,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.7886751345948129,0.2113248654051871,0.5773502691896257,0.21132486540518708,0.7886751345948129
m003,0.94270736278,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.7886751345948129,0.2113248654051871,0.5773502691896257,0.2113248654051871,0.7886751345948129
m009,1.84358597233,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.7886751345948129,0.21132486540518713,0.5773502691896258,0.2113248654051871,0.7886751345948129
m011,1.83193118835,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.7886751345948129,0.21132486540518713,0.5773502691896258,0.2113248654051871,0.7886751345948129
m006,1.64960971581,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.7886751345948129,0.21132486540518713,0.5773502691896258,0.21132486540518713,0.7886751345948129
m003,0.98136882889,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.7886751345948129,0.21132486540518713,0.5773502691896258,0.21132486540518713,0.7886751345948129
m006,1.88591425602,1.1929069373852992,-0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.7886751345948129,0.2113248654051871,0.5773502691896257,0.2113248654051871,0.7886751345948129
m036,2.02988321282,1.1929069373852992,0.0,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.5773502691896258,0.7886751345948129,0.21132486540518713,0.5773502691896257,0.21132486540518713,0.7886751345948129
m004,1.39850888415,1.1929069373853025,-9.775738802027125e-19,0.5773502691896257,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.7886751345948129,0.21132486540518713,0.5773502691896258,0.21132486540518713,0.7886751345948129
m017,1.8854147256,1.1929069373853083,-2.73626654180158e-18,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.7886751345948129,0.2113248654051871,0.5773502691896257,0.2113248654051871,0.7886751345948129
m007,1.0149416064,1.1929069373853085,-2.73626654180158e-18,0.5773502691896257,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.7886751345948129,0.21132486540518713,0.5773502691896258,0.21132486540518713,0.7886751345948129
m003,1.26370923866,1.1929069373853223,-6.938893903907228e-18,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.5773502691896258,0.788675134594813,0.21132486540518713,0.5773502691896257,0.2113248654051872,0.7886751345948129
m006,1.8319311884,1.4920044095852423,4.0340562221106575e-17,0.5773502691896257,0.8164965809277259,2.018170482331419e-16,0.5773502691896257,0.40824829046386296,0.7071067811865475,0.5773502691896257,0.40824829046386285,0.7071067811865476
m007,1.54356891147,1.4920044095852583,3.552119023509321e-17,0.5773502691896257,0.8164965809277259,2.2323642385659686e-16,0.5773502691896257,0.40824829046386296,0.7071067811865474,0.5773502691896257,0.40824829046386285,0.7071067811865475
