manifold,words,scale,signs,fitness,l21,l31,l32
m011,baB/bbb/AAB,0.7,"1,1,-1",0.025088,0.4508,0.5444,-0.4329
m034,abb/AAb/ABA,0.6,"1,1,-1",0.030342,-0.4568,0.5202,0.446
m010,abA/bba/Abb,0.6,"1,1,-1",0.025649,0.4429,-0.541,0.4426
m034,bb/abb/ABB,1.6,"1,1,-1",0.023005,0.5988,-1.4079,0.8244
m010,aaa/aaB/AAb,1.9,"1,1,1",0.025549,-0.593,1.3703,0.8024
m034,baB/AAb/AAB,2.9,"1,1,-1",0.019433,0.4413,-0.5276,-1.8494
m011,BB/bbb/ABa,0.7,"1,1,-1",0.021625,0.4358,0.5291,-0.4257
m011,bAB/AAA/ABA,3.4,"1,1,-1",0.020653,0.5894,1.3751,1.8372
m011,bb/BA/ABB,2.1,"1,1,1",0.023949,-0.6042,-1.3724,-0.8573
m015,bb/bA/bbb,0.6,"1,1,-1",0.020471,0.4488,0.5317,-0.4261
m015,AB/aBB/bAA,1.4,"1,1,-1",0.020606,0.5947,-1.3702,0.8292
m038,AB/aab/bbb,0.8,"1,1,-1",0.023008,0.4478,-0.5406,0.4358
m015,ab/AA/baB,2.1,"1,1,1",0.019374,0.4415,-0.5314,-1.8374
m016,aab/bbb/bAA,2.9,"1,1,1",0.024297,0.5936,1.3622,1.842
m026,abA/baB/AAA,1.5,"1,1,-1",0.019531,-0.5977,-1.3948,-0.8422
m015,Ba/bab/ABA,1.7,"1,1,-1",0.021542,-0.4449,0.5223,0.4386
m017,Ba/bAB/AAb,2.2,"1,1,1",0.022079,0.5969,1.377,1.8154
m011,aba/abA/bba,3.7,"1,1,-1",0.019557,-0.4477,-0.5298,1.8316
m038,bAb/ABA/ABB,0.6,"1,1,-1",0.023036,-0.445,-0.5411,-0.424
m023,bA/aaa/aBB,0.6,"1,1,-1",0.022903,-0.4368,-0.5254,-0.4224
m023,aab/bAb/AAB,3.1,"1,1,-1",0.019847,0.6041,-1.3993,-1.8432
m022,abb/bAB/AbA,1.6,"1,1,-1",0.022863,0.5894,-1.4037,0.8376
m038,Ba/aBA/bAA,0.6,"1,1,-1",0.022725,0.4511,-0.527,0.4234
m017,aB/bbb/bbA,1.5,"1,1,-1",0.022322,-0.5995,-1.3916,-0.8618
m016,aB/bab/Aba,3.1,"1,1,1",0.020461,0.44,-0.5303,-1.8637
m019,baB/bAA/ABB,0.9,"1,1,-1",0.02059,-0.4452,0.5235,0.4359
m022,abA/bAb/bAA,1.6,"1,1,-1",0.020608,-0.603,1.3937,0.8238
m016,AB/abb/bbb,4.5,"1,1,1",0.019585,-0.6025,-1.3814,1.8258
m017,Ba/bAB/AAB,3.5,"1,1,1",0.020425,-0.4373,-0.531,-0.4351
m016,bA/aaa/bAA,2.0,"1,1,1",0.02446,0.6034,-1.4184,0.8319
m017,abA/bab/AAA,2.4,"1,1,1",0.022034,0.5831,-1.3846,-1.8689
m019,aBa/bAb/AAb,0.9,"1,1,-1",0.022011,-0.4339,-0.5231,-0.4327
