index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.668897,0.00e+00,0.7247,0.1971,0.6603,0.2656,0.9641,0.0037,0.6358,0.1780,0.7510
1,m003,0.981369,0.521956,0.00e+00,0.8400,0.2385,0.4873,0.3519,0.9232,0.1548,0.4129,0.3015,0.8594
2,m007,1.014942,0.519744,0.00e+00,0.9220,0.2476,0.2976,0.1006,0.8956,0.4333,0.3738,0.3696,0.8507
3,m003,1.263709,0.373669,0.00e+00,0.8848,0.3710,0.2819,0.4136,0.9040,0.1085,0.2145,0.2126,0.9533
4,m004,1.284485,0.510478,0.00e+00,0.8963,0.0001,0.4434,0.0000,1.0000,0.0002,0.4434,0.0001,0.8963
5,m004,1.398509,0.300536,0.00e+00,0.9961,0.0000,0.0883,0.0000,1.0000,0.0000,0.0883,0.0000,0.9961
6,m009,1.414061,0.660361,0.00e+00,0.7434,0.5654,0.3573,0.3617,0.7892,0.4963,0.5626,0.2397,0.7912
7,m003,1.414061,0.484348,0.00e+00,0.8562,0.2635,0.4445,0.3580,0.9228,0.1425,0.3726,0.2811,0.8844
8,m003,1.423612,0.568476,0.00e+00,0.8053,0.3089,0.5061,0.4560,0.8683,0.1955,0.3790,0.3881,0.8400
9,m004,1.440699,0.339644,0.00e+00,0.9824,0.0000,0.1868,0.0000,1.0000,0.0000,0.1868,0.0000,0.9824
10,m004,1.463777,0.449368,0.00e+00,0.9321,0.0003,0.3622,0.0001,1.0000,0.0006,0.3622,0.0005,0.9321
11,m004,1.529477,0.401138,0.00e+00,0.9565,0.0000,0.2919,0.0000,1.0000,0.0000,0.2919,0.0000,0.9565
12,m003,1.543569,0.433446,0.00e+00,0.8668,0.3414,0.3635,0.4114,0.9015,0.1342,0.2819,0.2659,0.9219
13,m007,1.543569,0.394048,0.00e+00,0.9597,0.0000,0.2809,0.0000,1.0000,0.0000,0.2809,0.0000,0.9597
14,m007,1.583167,0.456598,0.00e+00,0.9549,0.1332,0.2652,0.0341,0.9369,0.3479,0.2948,0.3232,0.8992
15,m007,1.583167,0.580901,0.00e+00,0.9653,0.2002,0.1675,0.0715,0.8200,0.5678,0.2510,0.5362,0.8059
16,m006,1.588647,0.461865,0.00e+00,0.9997,0.0119,0.0202,0.0024,0.9087,0.4174,0.0233,0.4172,0.9085
17,m003,1.588647,0.422081,0.00e+00,0.8766,0.3155,0.3633,0.3817,0.9157,0.1256,0.2930,0.2488,0.9232
18,m006,1.649610,0.838761,0.00e+00,0.6393,0.1317,0.7576,0.5121,0.8079,0.2917,0.5736,0.5744,0.5840
19,m015,1.757126,0.399177,0.00e+00,0.9949,0.0431,0.0911,0.0105,0.9434,0.3316,0.1002,0.3289,0.9390
20,m007,1.824344,0.475404,0.00e+00,0.9393,0.1538,0.3066,0.0408,0.9376,0.3454,0.3406,0.3119,0.8870
21,m009,1.831931,0.592873,0.00e+00,0.8305,0.3643,0.4213,0.1774,0.8900,0.4199,0.5279,0.2740,0.8039
22,m010,1.831931,0.744636,0.00e+00,0.5973,0.4371,0.6724,0.5531,0.8316,0.0493,0.5808,0.3425,0.7385
23,m009,1.831931,0.330269,0.00e+00,0.9859,0.0000,0.1676,0.0000,1.0000,0.0000,0.1676,0.0000,0.9859
24,m011,1.831931,0.280089,0.00e+00,0.9999,0.0114,0.0001,0.0114,0.9999,0.0000,0.0001,0.0000,1.0000
25,m006,1.831931,0.666314,0.00e+00,0.6955,0.5916,0.4078,0.4272,0.7968,0.4274,0.5778,0.1231,0.8069
26,m007,1.843586,0.199334,0.00e+00,0.9935,0.1136,0.0031,0.1136,0.9935,0.0002,0.0031,0.0006,1.0000
27,m009,1.843586,0.657363,0.00e+00,0.7864,0.0030,0.6177,0.0035,1.0000,0.0003,0.6177,0.0020,0.7864
28,m016,1.885415,0.410616,0.00e+00,0.9213,0.1233,0.3688,0.1334,0.9911,0.0019,0.3653,0.0510,0.9295
29,m007,1.885415,0.411305,0.00e+00,0.9688,0.0847,0.2329,0.0157,0.9588,0.2835,0.2474,0.2710,0.9302
30,m006,1.885415,0.646220,0.00e+00,0.7447,0.5213,0.4168,0.3328,0.8313,0.4451,0.5785,0.1928,0.7926
31,m017,1.885415,0.385093,0.00e+00,0.9618,0.0080,0.2737,0.0085,1.0000,0.0004,0.2737,0.0027,0.9618
32,m006,1.885914,0.652176,0.00e+00,0.6932,0.4838,0.5343,0.3958,0.8750,0.2788,0.6024,0.0182,0.7980
33,m010,1.910844,0.720902,0.00e+00,0.6246,0.4192,0.6589,0.5258,0.8496,0.0421,0.5774,0.3202,0.7511
34,m011,1.912210,0.283656,0.00e+00,1.0000,0.0070,0.0003,0.0070,1.0000,0.0000,0.0003,0.0000,1.0000
35,m006,1.922297,0.657398,0.00e+00,0.6895,0.4480,0.5691,0.3829,0.8924,0.2386,0.6148,0.0534,0.7869
36,m006,1.941503,0.676036,0.00e+00,0.7071,0.2766,0.6508,0.2459,0.9591,0.1404,0.6630,0.0608,0.7461
37,m009,1.941503,0.655632,0.00e+00,0.7488,0.5179,0.4136,0.3130,0.8264,0.4681,0.5842,0.2211,0.7809
38,m006,1.953708,0.644928,0.00e+00,0.7444,0.5005,0.4420,0.3164,0.8473,0.4266,0.5880,0.1778,0.7891
39,m006,1.962738,0.658349,0.00e+00,0.6892,0.5485,0.4735,0.4211,0.8349,0.3544,0.5897,0.0448,0.8064
40,m017,1.962738,0.591883,0.00e+00,0.8124,0.1084,0.5729,0.1168,0.9929,0.0221,0.5713,0.0490,0.8193
41,m023,2.014337,0.405503,0.00e+00,0.9544,0.0002,0.2987,0.0000,1.0000,0.0007,0.2987,0.0006,0.9544
42,m007,2.025945,0.435203,0.00e+00,0.9803,0.0866,0.1776,0.0169,0.9322,0.3616,0.1969,0.3515,0.9153
43,m006,2.028853,0.660665,0.00e+00,0.7438,0.1454,0.6525,0.2217,0.9745,0.0355,0.6306,0.1711,0.7570
44,m036,2.029883,0.417184,0.00e+00,0.9406,0.0294,0.3381,0.0353,0.9993,0.0115,0.3375,0.0228,0.9410
45,m015,2.029883,0.349309,0.00e+00,0.9996,0.0125,0.0249,0.0058,0.9675,0.2527,0.0272,0.2524,0.9672
46,m016,2.029883,0.302896,0.00e+00,0.9872,0.0320,0.1563,0.0331,0.9994,0.0048,0.1560,0.0099,0.9877
47,m010,2.029883,0.716714,0.00e+00,0.5928,0.5822,0.5564,0.5601,0.7945,0.2346,0.5786,0.1726,0.7971
48,m019,2.029883,0.288184,0.00e+00,1.0000,0.0012,0.0000,0.0012,1.0000,0.0002,0.0000,0.0002,1.0000
49,m011,2.029883,0.450254,0.00e+00,0.9147,0.0633,0.3991,0.0758,0.9970,0.0156,0.3969,0.0445,0.9168
